Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
S05_Z08	0.0	58.92707	42.95161	6.42981	1418.4530300000004	1732.39458	27.4467	813.5469700000001	239.76523	102.815	282.85353	22.2602	0.0	0.0	502.91639	8.73215	0.0	0.0	61.80484	0.0	36.83404	11.57353	23.3191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.34239	59.28391	2091.06116	60.50987	15.28592	0.0	0.0	0.0	0.0	0.0	18.07406	0.0	0.0	1594.28849	29.4022	0.0	1956.0333099999991	0.0	85.5941	3980.965430000001	1200.7699699999996	1705.6966200000002	639.0581700000001	809.0693300000001	600.8089000000001	641.3581800000002	1216.7164699999998
S05_Z09	0.0	86.57433999999999	57.28096000000001	0.0	2410.17452	3339.218960000001	186.8087	1824.65079	493.71691	57.27824	616.0434699999998	24.67885	0.0	0.0	1034.63046	44.652	0.0	0.0	102.14487	0.0	28.06985	27.5985	33.03897	0.0	0.0	0.0	0.0	0.0	0.0	4.84722	21.21383	151.78570000000002	2725.6283700000004	191.96039	26.1224	0.0	13.68881	0.0	5.00892	0.0	37.9413	0.0	0.0	4423.332119999999	372.28119	0.0	2995.1060500000003	6.51064	274.05903	7296.332240000003	2297.07333	2775.21325	1468.62603	1731.31346	1963.2216000000003	1185.27319	2148.16124
S05_Z10	0.0	0.0	21.439	0.0	1638.3827400000002	1847.60185	34.12344	972.5270800000004	157.27719000000002	12.6459	309.51227	17.6394	0.0	0.0	445.6331	20.08221	0.0	0.0	35.48639	0.0	19.31297	3.39406	11.61965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.8146	2036.4606200000003	0.0	25.2342	0.0	0.0	13.18616	0.0	0.0	5.66781	0.0	0.0	1791.22201	78.36216999999999	0.0	1941.85501	6.68106	80.8677	3079.261579999999	1021.93769	1324.9570399999998	627.50498	419.1358799999999	699.1293	485.3198499999999	945.2868199999998
S13_Z07	0.0	26.2215	65.87989999999999	65.3604	560.96301	940.01707	16.3055	481.88167	13.0396	0.0	32.2422	0.0	0.0	0.0	901.39559	94.08458	0.0	0.0	8.82798	0.0	0.0	8.59336	18.02097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.96205	798.9795499999999	0.0	44.1977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9451	746.0131100000002	11.129	0.0	556.5922400000001	6.05164	30.014760000000003	1529.7528799999998	572.09023	706.87942	630.4612500000001	445.0785100000001	725.32062	507.6634700000001	834.49854
S13_Z09	0.0	22.3938	17.45268	0.0	1361.95721	2149.44985	0.0	795.1045399999999	30.497100000000003	21.6362	319.26642000000004	0.0	0.0	0.0	271.74012	19.8459	0.0	0.0	0.0	0.0	37.9601	14.0515	11.3881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73211	9.96655	988.36816	0.0	14.7561	6.41304	4.15041	0.0	0.0	5.5308	0.0	0.0	0.0	1716.58831	0.0	0.0	1163.09344	0.0	169.30007	1994.0195799999992	691.82293	921.09905	521.1207200000001	617.6940000000002	573.4572799999999	202.04924	971.9790099999998
S14_Z07	0.0	59.58836	73.75209000000001	29.78449	881.2437899999999	1814.13286	0.0	736.7515799999996	157.66263999999998	0.0	116.7747	0.0	0.0	0.0	1261.2998299999997	325.40838	0.0	0.0	297.60186	0.0	75.14331	84.5196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.10682	7.34457	30.10185	1699.935810000001	25.51232	52.86271	5.94048	4.4391	0.0	0.0	0.0	7.43423	0.0	0.0	1821.42816	100.96291	0.0	1364.93792	0.0	86.6112	3155.50607	1249.08515	623.2732600000002	633.14388	546.58469	630.3927000000002	746.84598	953.25652
S14_Z09	0.0	50.7231	16.286839999999998	6.18012	2003.24157	2688.20018	144.687	1375.781262	36.419160000000005	11.6371	261.0753	0.0	0.0	0.0	614.1726799999999	45.32855000000001	36.2832	0.0	4.01843	0.0	27.47678	34.23443	126.18225	0.0	0.0	0.0	0.0	0.0	0.0	4.69333	26.38409	39.11541	1683.3424599999998	17.2621	41.07407	5.01695	0.0	31.86664	5.09346	0.0	12.67547	0.0	0.0	1836.27646	166.3565	0.0	1094.9470899999997	12.2606	243.14819999999995	3583.151300000001	1078.1022700000003	891.4094900000001	939.5509500000004	697.4457399999999	948.89453	624.82074	1225.30883
S15_Z07	0.0	269.94732	31.52193	11.99509	1737.1497100000004	1965.75511	157.6023	1139.72481	190.4096	8.62184	324.88444000000004	12.2058	0.0	0.0	1461.29483	182.08357	11.354	0.0	9.43466	0.0	76.47403	60.33512	144.21994	0.0	0.0	0.0	0.0	0.0	0.0	8.11244	23.89864	27.07257	2264.205769999999	6.75036	38.63629	0.0	24.65708	20.07724	22.9091	9.46491	19.53383	0.0	0.0	2054.38857	153.41341999999997	0.0	2023.27155	0.0	198.77132	3706.6278900000016	1144.0674799999997	940.32813	1273.14342	1258.18794	1186.49662	633.88487	1202.73781
S16_Z07	0.0	102.1366	11.08375	11.52479	1050.3265899999997	2545.3441	0.0	831.3877399999999	88.18016	0.0	40.09846	0.0	0.0	0.0	1723.499	561.39474	0.0	27.3426	83.96162000000001	25.0524	76.27281	74.95725	100.22436	0.0	0.0	0.0	0.0	0.0	0.0	9.06262	14.2332	26.25994	2533.149700000001	0.0	23.83347	0.0	13.4624	0.0	9.30363	0.0	0.0	0.0	0.0	4087.697420000001	59.6538	46.46801	1672.5073	8.87412	93.37707	4619.227069999997	1424.8346800000004	2019.4671500000009	1406.37323	888.5561299999999	1978.48126	1009.24001	1734.7358000000002
S17_Z07	0.0	347.81027000000006	4.81111	0.0	1422.2570299999998	1738.2959699999997	79.3579	842.9425799999999	87.9079	0.0	125.84042	0.0	0.0	0.0	1507.4762	258.01777	3.80079	9.5667	91.08925	2.35019	224.97891	7.74025	123.92595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.69297	0.0	1811.08327	0.0	38.5388	0.0	7.88848	61.25202	8.24893	6.85714	5.9969	0.0	0.0	2005.78078	60.10746	42.1876	963.6279000000002	12.53924	289.6511	4197.747500000002	1381.2706699999997	1337.49734	814.8743000000002	915.4113099999998	1157.15988	992.98385	1344.9865299999997
