Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
S01_Z00	0.0	70.073	644.2333	579.16744	598.20978	687.6468400000001	5.68851	207.33127	16.14235	0.0	385.63111	106.93439	0.0	0.0	411.28474	0.0	0.0	0.0	0.0	0.0	109.2255	395.6635	39.2033	0.0	0.0	0.0	0.0	0.0	0.0	142.79424	391.14719	81.1836	3106.620280000001	491.9831	1550.4800000000002	0.0	299.4993	17.50414	249.681	22.4676	736.5992100000001	0.0	210.5693	351.34582000000006	35.99049	15.54982	576.51681	24.88624	668.02391	2281.09808	1117.14302	288.92479999999995	1422.67249	1034.0879	953.2447	779.3746899999999	1304.0012300000003
S02_Z00	0.0	0.0	530.4020199999998	659.69153	677.63957	543.46839	0.0	404.92230000000006	7.02562	0.0	571.8842999999999	22.0546	0.0	0.0	293.87161999999995	0.0	0.0	0.0	332.35949	0.0	511.6769000000001	150.97954	20.70319	0.0	0.0	0.0	11.611	0.0	0.0	180.21069	483.93124	438.2563300000001	3297.0505700000003	758.1836099999999	1155.2437600000003	0.0	285.7663	97.11041	291.674	153.46	757.35608	0.0	79.83558	373.841	10.8654	11.0674	774.42378	11.31387	651.76913	1994.0413000000003	1651.00914	626.2276499999998	1361.8882	721.2335300000002	524.4708500000002	847.2366899999998	1290.4989899999996
S03_Z00	0.0	0.0	892.0111	1008.83469	586.24464	709.29916	5.42466	348.15858000000003	21.80706	0.0	395.3355	14.448	0.0	0.0	220.43819	0.0	0.0	0.0	563.32152	0.0	458.4773	243.4907	21.99748	0.0	0.0	0.0	0.0	0.0	0.0	114.41259	384.12786000000006	264.74682	2245.33577	959.2237300000002	1686.89738	0.0	563.6533999999999	151.7581	509.9081	50.54903	1191.9780400000002	0.0	131.79945	171.77748	107.9239	0.0	594.9492	13.25909	758.5303	1669.7063300000004	1050.3984599999997	246.90374	1209.20557	661.4188399999999	508.0455500000001	393.73294	945.5528499999996
S04_Z00	0.0	26.4015	593.48064	516.7319099999999	609.91931	769.6907	0.0	327.57397000000003	24.2198	0.0	296.6502	66.3947	0.0	0.0	111.03191	5.83467	0.0	0.0	156.57632999999998	0.0	306.84977999999995	98.31663	7.25364	0.0	0.0	0.0	0.0	0.0	0.0	207.63213	358.39593	122.0514	1825.24272	268.66998	800.9637999999999	0.0	244.4	39.3851	148.6275	49.409130000000005	833.54494	0.0	109.88009	197.22007	46.2712	8.05105	741.1595500000003	15.804939999999998	190.70404	1479.81229	1108.09555	411.66926	615.53008	532.8745	314.27895	400.97277	890.23264
S05_Z00	0.0	20.68645	94.75736	174.43327000000002	437.99102	336.32512	0.0	176.51273	0.0	0.0	486.6465	20.78042	0.0	0.0	194.38216	0.0	0.0	0.0	118.47636	0.0	312.44051	206.00306000000003	3.52347	0.0	0.0	0.0	0.0	0.0	0.0	218.67546	103.4332	108.92844	1408.6617599999995	482.04819	204.27492	0.0	244.86490000000003	37.3277	69.7704	0.0	2285.42293	0.0	0.0	266.34443	0.0	0.0	685.43182	0.0	225.0591	1936.7052599999995	1376.6551500000005	191.64141	484.5568299999998	636.97588	178.31822000000005	640.6917799999999	895.6778299999997
S06_Z00	0.0	250.92751	181.18347999999995	222.8508	2370.5260200000007	1099.51633	634.8555	2087.45123	665.00003	0.0	18.9578	0.0	0.0	0.0	115.9466	18.3078	0.0	0.0	108.8373	17.9325	49.92966	162.8528	1243.83667	0.0	0.0	0.0	0.0	0.0	0.0	45.60874	122.0575	127.29971	2309.42856	325.0265	667.55575	175.0989	158.5707	48.4486	0.0	0.0	202.997	0.0	12.0029	887.49771	0.0	73.3214	145.66425	0.0	227.13376	4980.241829999999	3288.1609200000007	4729.040159999999	2406.2866299999987	315.90008000000006	1331.9195200000004	3476.10712	5278.364429999999
S07_Z00	0.0	8.04164	615.16166	949.96226	2504.7391999999995	1094.47041	816.0617	2180.83395	795.5369000000001	0.0	30.7819	0.0	0.0	0.0	180.2499	0.0	7.49074	0.0	32.4997	0.0	903.2529	448.7869	1489.89282	0.0	0.0	0.0	3.84291	0.0	0.0	99.5969	750.9140000000001	777.1985099999999	2740.0863400000003	803.5073	2330.6628	811.4615	683.3445499999999	10.1477	0.0	0.0	651.1109	0.0	52.4896	376.85729	5.78758	248.8998	60.7414	2.9723	848.59979	5132.777450000002	3307.84011	5948.76136	3845.20944	307.05115	1406.7365199999997	2395.566889999999	5932.234490000001
S08_Z00	0.0	13.77912	564.5138	130.6257	1163.3911799999998	748.2264400000001	0.0	501.0833	0.0	0.0	256.8001	44.19361	0.0	0.0	138.31258	0.0	0.0	0.0	438.8021	0.0	268.74613	77.03099999999999	62.9822	0.0	0.0	0.0	0.0	0.0	0.0	535.75359	71.2622	95.0446	2532.0681899999995	811.29229	839.70149	37.0814	271.3856	40.6435	84.3751	0.0	603.88178	0.0	362.6021	313.05076	0.0	38.0234	960.8179099999998	8.6775	485.4824	1984.36737	1808.60555	697.9341599999999	1416.2261499999995	916.1185799999998	734.5667799999998	559.47801	1191.1843999999996
S09_Z00	0.0	3.53238	342.22984	203.80749	993.76276	1252.69764	4.97521	591.3743900000001	56.67068	0.0	480.662	36.8673	0.0	10.4675	317.2742	140.74114	4.42843	0.0	463.2741	0.0	188.47227	125.04941	23.85147	0.0	0.0	0.0	0.0	0.0	0.0	372.94749999999993	191.25211	66.97823	2977.2949600000006	119.24641	450.4248000000001	10.2517	159.78286999999997	67.28612	100.3006	7.61226	35.08198	0.0	40.12408	788.32011	9.26252	23.35414	1726.83151	33.26915	408.5532100000001	4499.598269999998	2829.61923	1406.6026800000002	1701.2974299999996	1243.6536499999995	1191.9288300000003	1249.43975	2148.771569999998
S10_Z00	0.0	8.05226	187.38458	67.70287	803.8455200000002	1204.8365	5.17955	704.1172400000002	34.17165	0.0	359.265	26.4803	0.0	7.66895	139.91446000000002	17.19984	12.1103	0.0	271.80768	0.0	450.7774999999999	233.25753	58.06715	0.0	0.0	0.0	0.0	0.0	18.6464	611.33631	249.1942	332.8948699999999	3060.333100000001	235.50779	500.46803	0.0	475.41457	163.1011	270.394	8.36889	160.60269	0.0	49.63909999999999	907.4510200000002	0.0	0.0	981.3444900000002	8.4289	1164.59509	4031.759749999997	3385.89771	839.90226	2502.376880000001	1265.09517	1158.9461400000002	1513.77941	2675.215
