Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S01_Z01	158.93999000000002	128.38909	2407.23777	158.49528999999998	6808.915510000002	4930.50579	321.41241	9.84432	743.50983	2769.516819999999	0.0	0.0	0.0	82.236	0.0	8408.94623	0.0	413.1635399999999	3079.26666	4032.26193	3094.21394	422.0536	510.33938000000006	4089.49632	2218.015520000001	3996.99333	4354.94998	3521.562650000001	4045.4126699999983	4552.673669999999	1948.05463	975.6126	188.6565	489.2122	477.2838	510.5388	566.27136	1514.7772899999998	0.0	2562.71849	73.7736	1157.7796400000002	1625.4187599999998	3707.5654799999984	938.01215	1218.9836200000002	739.3981899999999	1134.6525299999998	226.12420000000003	974.2968	2015.52499	197.27535	1229.7076100000002	2938.8142300000004	596.1250999999999	844.74952	733.82803	530.21757	801.0533100000002	657.0300800000001	480.72158	611.57914	1016.0066
S01_Z05	8.09798	11.3582	1203.83586	522.1687	4089.621590000003	2983.396780000001	59.11242	28.33676	118.37302	2573.885770000001	0.0	0.0	0.0	11.93296	0.0	3959.094719999999	0.0	80.4246	1526.2654399999994	2192.124059999999	1201.00752	41.6922	61.7399	3143.325520000001	1735.5362799999998	3750.66431	2390.4465200000004	2531.004919999999	3278.7961300000006	2563.54267	1302.4711199999997	41.95513	3.08955	54.03983	9.18806	269.06602000000004	261.12694000000005	461.39939000000015	0.0	653.3674199999999	126.39771000000002	410.13054	371.32314000000014	434.57697999999993	143.2736	214.176	213.67844	515.90738	237.5048	151.01996	1852.24318	32.27202	366.56151	1762.7367899999988	442.02135	277.46680999999995	251.18658	245.0664	985.92909	285.4651799999999	887.3659100000002	1418.8396200000002	182.37199
S02_Z01	106.84982	138.27620000000002	1854.91017	161.86409	5420.049640000004	4072.82526	277.51948	0.0	473.83331	1712.291779999999	7.01118	0.0	0.0	61.86863	0.0	6773.068199999998	0.0	360.08778	2715.4689499999986	3969.419439999998	2816.78602	317.214	289.49201	2667.597089999999	1838.83907	2811.033629999999	3646.8904200000006	2330.47657	2982.9417300000005	3492.57765	1825.9464799999992	322.8138	138.28879999999998	411.7362	532.1038	488.67789	858.81453	1158.9526200000005	0.0	2258.2807100000005	152.6197	816.12629	1198.25537	2019.88268	701.6161500000001	762.2698200000003	644.86273	976.46965	164.18630000000002	784.2754900000001	1898.88659	28.70475	1198.680649999999	1821.88459	466.79893	518.05752	440.5318	198.69673	584.9549099999999	265.13513	356.9688700000001	391.37428000000006	382.45683
S02_Z03	64.8475	129.17148	1479.9587399999998	138.93608999999998	5094.735620000002	3671.861310000001	126.18803	7.0	483.5670500000001	1712.1630999999998	2.61111	0.0	0.0	35.39571	0.0	5381.275989999997	0.0	217.7057	2019.62683	2621.10411	2156.57975	11.1122	178.7356	2479.2239600000003	1161.0555700000002	2519.7821999999987	2697.08885	2711.85677	2785.346079999999	2803.524960000001	1248.5974600000002	441.4149	181.95246	391.6953	406.3473	513.3198	540.62013	793.8333299999999	0.0	1677.7489000000007	81.58491000000001	371.36702	1117.0963700000004	1648.3101600000005	499.04486	463.49546	445.92224	613.5079199999999	173.88670000000002	599.43271	1482.3751900000002	446.96281	733.81622	1618.1868000000002	410.8270199999999	668.1190499999999	457.29131	317.03270999999995	541.2963900000001	296.99845000000005	308.50747	544.96571	172.20918
S02_Z05	18.6213	10.57169	1963.2386100000003	495.54961	5082.905360000005	3813.1920299999992	175.55354	0.0	133.15216	2210.735380000001	0.0	0.0	0.0	16.7185	13.07201	4755.728520000003	20.7772	428.28413	1803.7433800000003	2938.6021000000005	1750.8067300000007	41.71396	106.64872	4064.213209999999	1814.8885900000007	3539.033050000002	2982.287609999999	3493.96335	4203.490282000002	3076.958680000002	1251.44847	122.48652	17.27833	78.18086	42.13289	318.69320000000005	257.1040899999999	582.6696299999999	7.06252	749.05854	191.16457000000003	592.98299	510.67549000000014	773.5946499999999	523.6762100000002	500.58662	549.5552200000001	824.46118	293.00479999999993	309.7201999999999	2695.8121200000005	90.51942	625.5633600000002	1973.106900000001	267.1651	739.94839	402.65608	388.58143999999993	1011.39004	358.87187	723.77176	1196.6038500000004	166.69906
S03_Z01	38.61348	119.6001	1203.8617799999995	120.99533	3740.73136	2478.895170000001	150.38978999999998	6.50827	422.07896	1759.2355999999995	0.0	0.0	0.0	27.67476	0.0	4315.905839999998	0.0	67.5561	1515.8570699999998	2356.0613200000003	1482.97453	15.1235	217.88804	2080.70964	1365.65365	2012.6467300000008	2433.960360000001	2326.177530000001	2389.5049699999995	2679.736889999999	1012.8989400000002	267.1376	154.5315	259.52828	425.73482	448.53238	406.02069000000006	579.4844800000002	0.0	1039.95182	86.05798	491.3821399999999	967.4752100000002	1727.18117	471.95237	386.39471	297.46548	498.7291699999999	113.6183	390.51151	1419.87638	400.8233	613.2174200000001	1555.6285800000005	206.91867	426.37552	392.32688	303.27557	439.6782	301.48277	267.75772	266.32317	306.2727
S03_Z03	39.0748	81.20479	1680.4743899999996	187.69931	5056.7704300000005	3853.246039999998	223.43145	12.6201	481.86955	2424.552640000001	0.0	0.0	0.0	24.75836	0.0	5955.736829999997	2.89124	375.17057	2125.86238	2933.292019999999	2067.140540000001	262.18352000000004	272.93407	3305.5383700000016	2300.910320000001	3139.948800000001	3406.2262100000025	2643.872140000002	3306.704319999997	3115.2830300000005	1875.56011	529.367	396.2649	395.85546	317.24060000000003	377.13137000000006	630.3190799999999	1016.07205	0.0	1692.37109	165.62766	803.3142600000001	1199.2650299999996	1792.9635399999995	646.48045	550.1465300000001	607.4001899999998	813.3489200000002	216.60346	635.0915799999999	2184.803540000001	152.46439	843.8393400000001	1879.68956	384.6884399999999	712.9272400000001	473.84622	406.2778799999999	987.95385	528.41768	366.96982	785.4935200000001	542.79199
S03_Z05	13.88131	32.00785	1396.93105	168.2471	4343.951259999999	2806.96837	102.6857	28.3222	132.07508	1779.7851099999991	0.0	0.0	0.0	38.81495	0.0	4226.188110000002	0.0	90.97384	1533.91829	2486.715679999999	1772.4137399999995	69.3866	181.71109	2536.05248	1630.95914	2629.225440000001	2176.9561000000003	1946.9667899999995	2664.6755900000003	2446.7542400000007	1791.6777599999994	83.63589999999999	49.92127	182.09954	95.5175	278.1184	507.83777	723.0517800000001	0.0	1031.2237500000003	36.08026	712.2108600000001	584.76588	896.55687	416.60243	378.83443000000005	471.7171000000001	527.7093199999999	231.7621	285.15634000000006	1235.5634199999995	21.44849	447.80188	1634.261789999999	292.39301000000006	368.90922	249.44493000000003	262.458	831.80968	356.66739000000007	386.44501	770.5024799999999	251.95474
S04_Z01	90.6426	100.3001	2268.935079999999	166.31495	7005.805400000002	4539.4029500000015	217.5951	0.0	293.26852	2759.4480300000005	0.0	0.0	0.0	48.50596	0.0	7788.398549999997	0.0	206.02123	2883.642369999999	3343.5220900000013	2770.9887500000004	121.62896	441.87118	3693.503079999998	2303.0873699999997	3026.3934100000006	4249.269440000001	2361.3239400000007	4843.62288	4951.693750000001	1895.066200000001	847.28582	158.60472	311.13178	183.74118	368.98613	967.38454	891.6997999999999	0.0	2541.66262	111.31147	480.36495	1015.3955600000002	1996.7298000000003	577.1711199999999	550.4530499999998	729.9401699999997	619.44814	202.21805	485.00071	1908.23929	185.48108	1100.3228800000002	2769.28773	671.78878	475.40703	429.83208	212.3148	493.7365999999999	318.07713	403.63642	388.66032999999993	444.7008799999999
S04_Z05	11.4723	24.64314	1741.1361699999998	281.12451000000004	5119.37371	3605.698630000001	120.40804	0.0	131.85761	2450.2417	0.0	0.0	0.0	29.48362	0.0	5145.137800000001	0.0	19.26088	1820.4448	2579.4293800000014	2052.02243	15.15503	150.87766	2838.5245	1850.4811400000008	3091.047	2752.392480000001	2437.062680000001	3251.026969999999	3295.06704	2141.6554099999994	78.11665	62.93347	30.2934	33.853100000000005	179.34811	765.9088799999998	780.7071999999998	3.48462	1439.02297	238.18777	898.6607000000002	758.49414	1212.1298900000002	456.29343	499.9309999999999	568.45475	421.7222	190.9514	222.76714	1192.7562899999998	36.3274	469.76629	1876.8060999999989	425.86866	362.4542699999999	272.40999	203.85912	372.3424	163.14542	210.88374	465.7562400000001	207.85345
