Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S05_Z08	6.8013	0.0	1774.8804799999998	759.5883999999999	7400.29967	5027.633550000002	190.20249	0.0	129.09403	3355.6613900000007	0.0	0.0	0.0	69.7945	0.0	6359.035439999997	0.0	76.23555	2582.0824	4067.3268400000006	1915.34531	14.09844	158.4593	4969.8938	2494.656710000001	5048.2906600000015	3603.803019999997	3930.60922	5291.154949999999	3605.43198	1496.0335299999997	61.80484	11.57353	36.83404	0.0	338.25063000000006	952.95867	787.78137	0.0	1036.7768600000002	285.62146	901.7480599999998	715.47267	900.2452699999998	343.58509	397.16387	354.26645	619.0854499999999	366.47534	318.07447	2238.4408100000014	38.11337	594.58896	2886.2940500000004	789.70133	881.9939999999999	412.0857500000001	331.34351	1497.52785	696.8026100000001	490.36194	1189.3826900000004	55.1191
S05_Z09	27.07997	0.0	3272.350020000001	807.4897799999999	10021.07677999999	7290.158439999999	220.99269	9.86908	289.16152	4994.314019999999	0.0	0.0	0.0	32.23212	0.0	10051.631699999998	0.0	421.82577	3435.142500000001	6573.698990000002	3822.76034	14.311	313.23533	7746.002349999998	3131.6259599999985	7927.897150000002	4652.395689999998	5752.543399999999	7800.206639999999	5789.034219999997	2525.44009	102.14487	27.5985	28.06985	0.0	679.6801799999998	1525.45662	1558.5166399999998	0.0	1765.56961	490.10645	1117.51851	766.0948300000002	1293.8128600000002	542.39996	675.54466	636.02163	1078.32618	647.6619799999999	532.98829	4927.547480000002	55.81398	906.4926899999998	4478.3808800000015	1080.3336900000002	2288.145310000001	1313.32714	593.3094699999999	1261.6722599999998	613.9704000000002	1375.94459	2465.79325	165.76717000000002
S05_Z10	0.0	0.0	1773.71026	115.93571	6290.3361099999975	3926.080074999999	177.4951	9.71063	80.92758	3021.0415399999997	0.0	0.0	0.0	82.52091	0.0	5313.724459999996	0.0	311.52295	1824.88441	3308.8833400000003	1852.90098	20.3487	105.43567000000002	4117.3191	2108.14472	3676.689639999999	3254.123219999998	3323.2000199999998	4395.571400000002	3434.49842	1113.8162399999997	35.48639	3.39406	19.31297	0.0	352.09923	687.56363	506.32449	0.0	1125.02269	211.37218	810.841	469.43117000000007	809.98424	238.52281	288.97009	284.70163	683.94075	231.43535	239.91381	2113.4229199999995	31.34151	570.1965900000001	2407.985749999999	731.97	602.54161	674.4618300000001	613.18575	658.68299	211.81463	721.74094	1417.36937	138.87296
S13_Z07	3.56612	0.0	914.72015	151.75086	2552.14309	1803.3632500000003	36.46746	0.0	125.07065	1220.5897700000005	0.0	0.0	0.0	0.0	7.92015	2456.4171800000004	0.0	4.61635	1187.07882	1608.1201	1262.23468	10.6561	11.3909	1655.22697	901.95091	1911.596809999999	1536.8638399999995	1713.3629999999998	2104.98722	1719.2283400000006	844.0068600000001	8.82798	8.59336	0.0	0.0	77.1942	395.14447	330.26776000000007	0.0	1193.66877	25.59652	865.3196700000001	476.81072	593.7353099999999	157.98528999999996	149.01181000000005	224.71712	162.98944999999998	231.58473	296.42197	1469.14969	15.78304	245.41160000000005	967.32694	197.56498	222.08403	459.50528	136.54467	704.2306100000003	200.49877	188.43670999999995	1250.9187399999998	40.82475
S13_Z09	0.0	4.49842	534.3338200000001	519.7898899999999	4151.92503	2835.7820800000027	64.09444	0.0	33.1844	1616.5612200000005	0.0	0.0	0.0	39.3707	8.94561	3631.072400000002	0.0	21.39016	1109.93557	2201.351780000001	1726.9800299999993	13.3489	23.47597	1959.808540000001	1502.9503800000002	2622.6999399999995	2393.74087	3322.07099	3182.6989499999995	2701.89713	740.9111900000001	0.0	14.0515	37.9601	0.0	126.23390999999998	156.69419000000002	141.85978	5.50587	898.9872	110.48293	170.57746	134.16378	299.70377	115.8419	196.95179	113.86481000000002	147.10255	223.70361	116.06046	1643.5572799999993	9.5788	305.01377	2102.0226	294.24562000000003	149.25558	530.871	64.0992	1338.2638	196.40559	932.44488	1279.31984	140.47838000000002
S14_Z07	0.0	0.0	1326.72572	349.79256	5527.588909999998	3517.957069999998	155.78581	12.91995	89.26773	2397.9104499999994	0.0	0.0	0.0	8.15806	0.0	4497.25496	19.7977	159.1832	2255.3665399999995	3255.8485000000014	2220.9455000000003	9.13616	92.85734	3343.82904	2233.20212	3234.62856	2624.8544099999986	3295.137709999999	3679.912054	3161.35235	958.94034	297.60186	84.5196	75.14331	8.63904	354.86479999999995	463.89351	526.83661	0.0	1180.29382	172.3549	684.0790200000001	986.07785	1072.88764	181.30194	339.26750000000004	264.64579000000003	341.24781	473.97623	195.78063000000003	2610.80666	50.29551	698.17944	2386.635979999999	418.8159	309.02286	469.00532	181.3081	1603.8215300000002	278.42731	591.9356099999999	1527.36594	141.57325
S14_Z09	50.59072	13.10421	664.72547	787.2839	4692.245660000002	4042.951680000003	135.84109	54.1057	119.17876	2858.241900000001	0.0	0.0	0.0	115.99357	0.0	4641.66217	0.0	25.9523	1911.5575800000008	3738.22869	1767.90104	18.16462	15.5271	3595.440419999999	2131.918359999999	4252.024129999999	2731.39248	4160.531510000002	4205.470249999999	3956.817839999998	1022.95815	4.01843	34.23443	27.47678	14.50531	414.3624	122.78139	287.98194	16.9925	984.6171700000004	188.95475	361.58375	417.057	538.41292	226.27783	433.23951	162.90147	340.02043999999995	267.16009	359.34896000000003	1459.3142900000005	16.745150000000002	559.2555699999999	2759.81452	741.8152100000001	531.6427399999999	563.65611	422.39928	1063.5190699999998	484.3698299999999	1219.0977599999997	1369.41936	300.01968
S15_Z07	32.41578	0.0	1678.2934700000008	805.1482699999999	5830.9542900000015	4692.502029999999	155.03384	12.1152	370.16923	3542.12687	5.81013	0.0	0.0	0.0	0.0	5202.784030000001	7.50439	43.8436	1860.1584400000008	4231.752859999998	2648.3749000000007	37.4032	22.81161	3855.203165	2600.71606	3839.8870499999994	2978.0439800000013	3425.6153500000005	3941.33442	3064.948389999999	1374.1020600000004	9.43466	60.33512	76.47403	17.0542	243.32475	510.48107	1227.51372	0.0	1639.94566	208.24132	653.80989	973.8408599999998	1218.25996	514.2909699999999	644.58546	509.8765499999999	716.45626	565.3168800000002	385.94250000000005	2480.694059999999	38.61319	542.5969200000001	2832.44218	611.1767400000001	383.6962899999999	729.7321000000001	205.17411	1087.54516	458.41819	715.8475800000002	1403.7072499999997	399.24471
S16_Z07	11.1498	21.22668	2395.93079	414.00658	7454.756510000003	5501.0310500000005	145.72469999999998	0.0	223.88725	2997.0306800000003	0.0	0.0	0.0	25.6349	9.7097	5543.735810000006	30.7482	166.03291000000002	2307.9519400000004	3256.868340000001	2708.84238	16.3159	99.74272	4562.921828999999	2148.4130199999995	5227.990069999998	3694.653029999999	4811.050849999999	5380.296809999997	4228.307198	2575.64585	83.96162000000001	74.95725	76.27281	0.0	185.24411	757.66167	702.2806999999998	0.0	1855.24146	136.33439	1672.9210400000002	1123.4246399999995	861.9581699999999	234.40848	534.41784	464.8388800000001	556.12383	496.12734	314.59710000000007	4478.084280000002	47.14318	765.8906799999999	2020.65574	574.5592699999997	574.55028	1521.6722200000004	807.239	2588.18089	1023.07727	1223.2006099999996	4216.122429999999	688.61511
S17_Z07	33.72899	0.0	1779.1630300000002	485.89075	4900.917189999997	3294.173910000001	86.8017	7.15684	253.91381	2340.595099999999	1.08549	0.0	0.0	0.0	0.0	3890.1404200000034	0.0	175.59152999999998	1785.6655299999995	3242.83149	2059.78403	15.3239	47.80783	3483.935070000002	1807.3389500000003	3657.935750000001	2685.618040000001	3405.156210000001	3988.04014	2257.647330000002	1184.10698	91.08925	7.74025	224.97891	0.0	227.08499	739.35942	395.95048	0.0	1141.41362	272.73767	742.4831100000001	814.5018200000001	1139.46525	390.62626000000006	458.01427000000007	492.72549	492.16672	308.99324	316.55849	2109.8967	37.26954	612.5186799999999	1418.4741800000002	775.7664500000001	477.53369	770.9173000000001	399.15922	2251.371519999999	823.3235999999999	1234.3165799999997	1909.0387999999991	503.64331
