Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
S01_Z00	132.25343999999998	391.511	2348.9073300000005	198.9303	5821.285710000001	5190.364260000001	193.28457	0.0	452.88364	2298.1435600000004	0.0	0.0	0.0	61.411	12.8136	6625.161889999999	0.0	271.53951	3071.84958	4017.5914500000017	2948.432640000001	248.762	265.84124	3255.755089999999	2353.7077200000003	3242.5336000000007	3204.01015	2669.308969999999	2636.8196	3590.92219	1954.48054	0.0	395.6635	109.2255	411.24625	210.73968	933.58523	1436.60425	0.0	3008.15963	94.58345	697.76339	1852.34987	2127.598480000001	887.5819299999999	1105.5093600000005	808.2295599999999	1494.1425999999994	164.58037000000002	1393.66635	3100.71918	285.6938	973.9768200000004	2162.51481	557.57731	778.27843	727.09384	690.42267	831.30397	543.25742	579.2679999999999	419.3017700000001	485.35075000000006
S02_Z00	168.74247	136.0847	2276.13958	214.46195	6106.142309999998	4661.72003	208.10565000000005	18.34159	637.8527000000001	3008.3432199999997	0.0	0.0	0.0	55.21069	0.0	7977.286090000003	0.0	369.1051	2741.11357	4079.203259999999	2766.0631	19.25561	350.10197	3124.70357	1983.3925100000004	3179.53614	3518.1920600000008	3414.8343	4133.91632	4455.59851	2237.6730099999995	332.35949	150.97954	511.6769000000001	384.2262	581.88719	962.7397500000002	1223.7421199999997	0.0	2679.7161800000003	178.0298	702.26588	1580.50184	2476.61317	1178.35709	1003.76971	752.19525	1174.59006	198.60996	1148.14598	2376.42051	135.23919999999998	1650.7098299999998	2240.65877	648.1086900000001	603.0133999999999	521.07668	494.4514400000001	670.30135	411.84376	433.12462	332.04832	314.03961
S03_Z00	41.909220000000005	112.433	1627.4183300000004	157.93928	3791.072329999998	3180.801980000001	222.27863	0.0	636.0780900000001	1569.2611799999995	0.0	0.0	0.0	40.384	0.0	4917.0243299999975	0.0	404.197	1803.61771	2583.642720000001	2337.85449	433.0359	511.80909	2654.16515	1736.21088	2216.1215100000004	2544.0714900000003	2440.1009000000004	2522.983139999999	2657.68916	1530.6433100000004	563.32152	243.4907	458.4773	816.8542	594.3023800000001	600.79993	768.48335	0.0	1482.7370600000004	89.73575	529.77265	1163.04959	1615.5064099999995	460.42068	565.0668800000001	415.4471	674.62831	174.86519	710.5805200000001	1560.38388	112.52002000000002	1132.0472800000002	1391.86619	440.32792000000006	334.12245	272.9865	266.98316	527.5714	327.07379000000003	320.40049	235.9145	419.7769200000001
S04_Z00	66.09748	135.9274	1227.07945	117.96681	4236.799059999997	2862.04894	130.3088	10.0168	302.33242	1689.3408599999996	0.0	0.0	0.0	14.7598	0.0	4546.842249999998	0.0	138.3919	1714.2443599999992	2303.43881	1635.50032	113.20566	318.99482	2331.2842299999998	1685.57261	2581.2664900000004	2803.652470000001	1992.2193899999995	2770.3913	3183.2631200000005	1254.9837100000002	156.57632999999998	98.31663	306.84977999999995	255.0878	320.9666	506.84022	736.35286	0.0	1472.1808399999998	35.1687	461.85931	847.8616000000002	1435.11321	374.81084	337.1189800000001	363.29534000000007	440.74026	243.52119	400.14802	1451.2815399999995	178.1337	595.5075099999998	1708.4521000000009	386.52075	362.91025	321.0192	225.42863	357.72032	322.99783	306.11369	237.00175	453.9842200000001
S05_Z00	83.58171999999999	21.2897	1415.98348	146.48914	4074.89943	3293.81926	123.39828	0.0	253.95035	2055.7570399999995	0.0	0.0	0.0	50.3903	0.0	4594.97139	0.0	168.26425	1973.4132000000009	2077.5733200000013	2006.90558	0.0	764.0950199999999	2247.852430000001	1312.9462199999998	2327.0884700000006	2208.17541	2138.7838199999987	1903.52116	2552.266639999999	1323.52233	118.47636	206.00306000000003	312.44051	119.5597	217.40432	734.0136299999999	737.03219	0.0	1937.8287300000004	107.3742	325.3174899999999	909.86412	1934.75891	251.76858	196.72625	360.6995599999999	182.88237	91.16176	307.52727000000004	1162.7172799999998	231.33672	946.60053	1580.5636599999991	890.0208700000001	237.23563	239.4543	151.7581	272.57617	239.03228	201.92259	219.63216	375.45632
S06_Z00	1355.3129	55.7113	3002.088419999999	1661.1659900000004	6927.442799999998	5396.717849999997	1254.4739100000002	15.1309	712.9426400000001	2117.66163	219.55113	0.0	0.0	232.974	30.6997	5444.538789999999	7.74106	55.80323	2694.70607	7584.299399999998	5647.612310000002	0.0	0.0	5075.723240000001	1390.6519899999996	6354.005179999999	3985.40605	3716.24742	4199.04855	5027.916520000002	4091.011469999999	108.8373	162.8528	49.92966	192.0293	1251.5572	1144.13936	2216.13423	33.4777	4650.80369	281.05370000000005	4262.448250000001	4266.36449	5112.13716	2963.2628600000003	4358.802570000001	2483.4794200000006	6751.207549999999	553.08691	3058.9569	4000.08014	293.69091	1597.02416	2361.58636	1707.68416	1308.0704	1019.96929	1070.38925	1066.47115	1059.3783199999998	881.3336399999998	1161.7822199999998	1460.8415199999995
S07_Z00	815.9459200000001	119.5732	4613.209779999999	2140.92568	8264.88823	7128.048610000003	1416.19024	10.9836	273.029	1966.64229	908.19	0.0	0.0	761.7085000000001	0.0	6909.630999999999	0.0	84.3829	2478.106729999999	8829.85365	6741.505	750.32271	3.77333	4838.170189999999	2604.659649999999	5917.216469999999	5517.74789	4688.913090000001	4583.032800000001	7492.285640000002	5178.15048	32.4997	448.7869	903.2529	781.7121	1136.8863	711.85528	3841.03703	170.34295000000003	5680.29578	379.99434	5081.97288	5050.903850000001	4184.282300000001	5190.683089999997	5900.685889999999	4510.152549999998	9249.64121	200.6416	1814.315019999999	4263.400369999999	725.6506	1929.34599	2889.9564400000004	1401.7568499999998	2365.0832500000006	2170.7397599999995	2633.06192	2302.0654600000003	1174.3547	1279.7829500000005	1148.40506	2202.53427
S08_Z00	72.75355	10.0356	3060.86439	121.29577	6091.49302	4730.960569999998	325.16688	0.0	397.19804	2680.0088100000003	14.3654	0.0	0.0	8.921790000000001	0.0	6952.262779999996	0.0	150.85556	2885.046310000001	3489.415030000001	2838.1297400000003	129.87683	282.0409	3570.8513	2431.179539999999	3519.742079999999	3775.69142	2817.3673100000005	4247.092150000001	4596.068159999998	2079.62871	438.8021	77.03099999999999	268.74613	242.6666	512.28719	682.96803	1284.01087	0.0	2635.55546	140.36339999999998	300.02074	950.42656	2098.1667700000003	616.8092200000001	933.51501	516.93771	965.8566899999998	270.94875	487.654	1747.82864	136.32843	976.05603	2741.086500000001	1053.59786	724.6902299999999	524.27746	474.68876	658.83301	454.46022	482.643	467.19289	550.6441599999998
S09_Z00	614.6697499999999	115.92640000000002	3426.375759999999	307.68882	9102.334150000008	6984.063039999994	194.13126	22.49819	296.6759	4025.237519999998	0.0	0.0	0.0	26.79831	0.0	10613.266129999998	0.0	123.3771	4864.769000000004	5157.580519999999	4429.981829999998	103.83078	140.5715	5623.570479999999	2852.33904	5433.611649999996	5020.768799999998	5490.906829999998	6459.068909999999	7654.366479999997	3088.12294	463.2741	125.04941	188.47227	143.998	445.16651	1319.73861	1868.39381	0.0	4177.71693	225.17113	1253.59582	1412.4394100000002	3829.70125	731.27876	906.76994	852.3506200000003	1065.8566	211.25836	883.2064999999999	2399.42183	121.02189	2573.06733	2964.626310000001	1857.7979800000005	1216.8266299999996	1063.91734	760.22747	1343.46687	888.14649	1151.43418	1525.8590799999995	748.4540099999999
S10_Z00	730.9561500000001	229.68166	3472.7461500000004	327.68871	8246.7862	6735.203419999995	262.97144000000003	0.0	587.0656099999999	2858.3904300000004	0.0	0.0	0.0	13.8438	0.0	10703.100249999998	0.0	93.7178	5471.481219999998	6663.374649999999	5080.156959999999	182.7484	340.88655	6546.028299999997	3201.89768	6422.288459999996	5733.034000000003	5357.66648	6917.346309999995	6502.899709999996	2821.12048	271.80768	233.25753	450.7774999999999	324.19103	611.9017600000001	1036.13783	1758.0592199999992	0.0	4270.487649999999	228.415	1916.48539	1615.4650799999995	4239.068889999999	574.69568	932.9978	835.0690599999998	1119.6429699999997	264.7294	1195.4312	3670.279379999999	282.81783	3554.78902	3465.05117	1798.7788899999996	1102.06776	840.80595	851.2460800000001	1181.51039	973.0310400000002	937.6369000000002	1278.39683	614.83021
