	Samples	M0_all_kmeans_3	M0_all_kmeans_4	M0_all_kmeans_5	M0_all_kmeans_6	M0_all_kmeans_7	M0_all_kmeans_8	clr_M0_all_kmeans_3	clr_M0_all_kmeans_4	clr_M0_all_kmeans_5	clr_M0_all_kmeans_6	clr_M0_all_kmeans_7	clr_M0_all_kmeans_8	M1_all_kmeans_3	M1_all_kmeans_4	M1_all_kmeans_5	M1_all_kmeans_6	M1_all_kmeans_7	M1_all_kmeans_8	clr_M1_all_kmeans_3	clr_M1_all_kmeans_4	clr_M1_all_kmeans_5	clr_M1_all_kmeans_6	clr_M1_all_kmeans_7	clr_M1_all_kmeans_8	guidi_all_kmeans_3	guidi_all_kmeans_4	guidi_all_kmeans_5	guidi_all_kmeans_6	guidi_all_kmeans_7	guidi_all_kmeans_8	clr_guidi_all_kmeans_3	clr_guidi_all_kmeans_4	clr_guidi_all_kmeans_5	clr_guidi_all_kmeans_6	clr_guidi_all_kmeans_7	clr_guidi_all_kmeans_8	salazar_all_kmeans_3	salazar_all_kmeans_4	salazar_all_kmeans_5	salazar_all_kmeans_6	salazar_all_kmeans_7	salazar_all_kmeans_8	clr_salazar_all_kmeans_3	clr_salazar_all_kmeans_4	clr_salazar_all_kmeans_5	clr_salazar_all_kmeans_6	clr_salazar_all_kmeans_7	clr_salazar_all_kmeans_8	stress_all_kmeans_3	stress_all_kmeans_4	stress_all_kmeans_5	stress_all_kmeans_6	stress_all_kmeans_7	stress_all_kmeans_8	clr_stress_all_kmeans_3	clr_stress_all_kmeans_4	clr_stress_all_kmeans_5	clr_stress_all_kmeans_6	clr_stress_all_kmeans_7	clr_stress_all_kmeans_8	lat_cast	lon_cast	Depth [m]
0	S01_Z00	1	0	0	2	6	0	0	1	4	2	4	1	2	0	2	0	0	5	1	2	2	3	0	4	2	3	0	3	5	5	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	1	1	5	0	3	3	4	4	6	1	0	1	3	5	7	-50.89833333	-74.27833333	2
1	S01_Z01	0	0	0	2	6	0	0	1	4	2	4	1	2	0	2	0	0	5	1	2	2	3	0	4	2	3	0	3	5	5	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	1	1	5	2	3	3	0	0	4	1	0	4	1	0	3	-50.89833333	-74.27833333	20
2	S01_Z05	1	1	3	3	1	7	2	3	0	3	5	2	0	2	0	2	6	3	2	1	4	0	2	0	0	1	4	1	4	2	2	1	3	2	0	1	0	2	3	2	1	0	0	3	1	4	2	2	0	0	0	1	1	2	1	0	4	1	0	3	-50.89833333	-74.27833333	90
3	S02_Z00	0	0	0	2	6	0	0	1	4	2	4	1	2	0	2	0	0	5	1	2	2	3	0	4	2	3	0	3	5	5	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	1	1	5	2	3	3	0	0	6	1	0	4	1	0	3	-50.70166667	-74.57333333	2
4	S02_Z01	1	0	0	0	6	0	0	1	4	2	4	1	0	0	2	4	0	5	1	2	2	3	0	4	2	3	0	3	5	5	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	2	1	4	0	0	3	4	4	6	1	0	1	0	5	1	-50.70166667	-74.57333333	10
5	S02_Z03	1	1	3	3	1	7	0	1	4	2	4	1	0	2	0	2	6	3	1	2	2	1	0	5	0	1	4	1	4	2	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	1	1	5	0	0	0	1	1	2	1	0	4	0	5	1	-50.70166667	-74.57333333	50
6	S02_Z05	1	1	3	0	2	2	2	3	0	3	5	2	0	0	2	4	4	1	2	1	4	0	2	0	0	1	1	5	0	1	2	1	3	2	0	5	0	0	3	2	1	0	0	3	1	4	2	2	0	0	0	4	4	0	2	1	1	4	2	7	-50.70166667	-74.57333333	90
7	S03_Z00	1	1	3	3	1	7	0	1	4	2	4	1	0	2	0	2	6	3	1	2	2	3	0	4	0	1	4	1	4	2	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	1	1	5	0	0	0	1	1	2	1	0	1	1	5	3	-50.70166667	-74.57333333	2
8	S03_Z01	1	1	3	3	1	7	0	1	4	2	4	1	0	2	0	2	6	3	1	2	2	3	0	4	0	1	4	1	4	2	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	1	1	5	0	0	0	1	1	2	1	0	4	1	0	3	-50.70166667	-74.57333333	10
9	S03_Z03	1	1	3	0	1	7	0	1	4	2	4	1	0	2	0	4	4	3	1	2	2	3	0	4	0	1	4	1	0	2	1	2	4	1	6	7	0	2	0	4	4	3	1	1	4	1	1	5	0	0	0	4	4	6	2	1	3	4	2	2	-50.70166667	-74.57333333	50
