Samples	Temperature_3_all	Oxygen_3_all	nitrates_3_all	Temperature_4_all	Oxygen_4_all	nitrates_4_all	Temperature_5_all	Oxygen_5_all	nitrates_5_all	Temperature_6_all	Oxygen_6_all	nitrates_6_all	Temperature_7_all	Oxygen_7_all	nitrates_7_all	Temperature_8_all	Oxygen_8_all	nitrates_8_all
S01_Z00	1	2	0	1	3	1	2	4	1	2	5	1	3	6	2	3	7	2
S01_Z01	0	2	0	1	3	0	1	4	0	1	5	0	2	6	0	2	7	0
S01_Z05	0	1	1	0	2	1	0	2	1	0	3	2	1	4	2	1	4	2
S02_Z00	1	2	0	2	3	0	2	4	0	3	5	0	3	6	1	4	7	1
S02_Z01	1	2	0	1	3	0	2	4	0	2	5	0	3	6	0	3	7	0
S02_Z03	0	2	1	0	2	1	0	3	2	1	4	2	1	4	3	1	5	3
S02_Z05	0	2	0	0	2	1	0	3	1	0	4	1	1	4	1	1	5	2
S03_Z00	1	2	0	1	3	0	2	4	0	2	4	0	3	5	1	3	6	1
S03_Z01	1	2	0	1	3	0	2	3	1	2	4	1	3	5	1	3	6	1
S03_Z03	0	2	0	0	2	0	1	3	1	1	4	1	1	5	1	1	5	1
S03_Z05	0	2	1	0	3	1	1	3	2	1	4	2	1	5	2	1	6	3
S04_Z00	1	2	0	2	3	0	2	4	0	3	5	0	3	6	1	4	7	1
S04_Z01	1	2	0	1	3	0	1	4	0	2	5	0	2	6	0	3	7	0
S04_Z05	0	2	0	1	3	1	1	4	1	1	4	1	2	5	2	2	6	2
S05_Z00	1	2	0	2	3	0	3	4	0	3	5	0	4	6	0	4	7	0
S05_Z01	1	2	0	2	3	0	2	4	1	3	5	1	4	6	1	4	7	1
S05_Z05	0	2	1	0	3	2	0	3	2	0	4	3	0	5	3	0	6	4
S05_Z07	0	1	1	0	2	2	0	2	3	0	3	3	0	3	4	0	4	5
S05_Z08	0	2	1	0	3	2	0	4	2	0	5	3	0	5	4	0	6	4
S05_Z09	0	2	1	0	3	2	0	4	3	0	5	3	0	6	4	0	6	4
S05_Z10	0	2	1	0	3	2	0	4	3	0	5	3	0	5	4	0	6	4
S06_Z00	0	2	1	1	3	1	1	4	2	1	5	2	2	6	2	2	7	3
S06_Z05	0	1	2	0	1	2	0	1	3	0	2	4	0	2	4	1	3	5
S07_Z00	2	1	0	3	2	0	3	3	0	4	3	0	5	4	0	6	4	0
S07_Z01	2	2	0	2	3	0	3	4	1	4	4	1	5	5	1	5	6	1
S07_Z03	0	1	1	0	1	2	0	2	3	1	2	3	1	2	4	1	3	4
S07_Z05	0	1	1	0	1	2	0	1	3	0	2	3	0	2	4	1	3	5
S08_Z00	2	2	2	3	3	2	4	4	3	5	5	4	6	6	4	6	7	5
S08_Z01	2	2	1	3	3	1	4	4	1	5	5	2	6	6	2	6	7	3
S08_Z03	0	1	1	0	1	2	1	2	2	1	2	3	1	3	3	1	3	4
S08_Z05	0	1	1	0	1	2	0	2	2	0	2	3	0	3	4	1	3	4
S09_Z00	1	1	1	2	2	1	3	2	1	3	3	2	4	4	2	5	4	3
S09_Z01	1	1	1	2	2	1	3	2	2	3	3	2	4	3	3	5	4	3
S09_Z03	1	1	1	2	2	1	2	2	2	3	3	2	4	3	3	4	4	3
S09_Z05	1	1	1	2	1	1	2	2	2	3	2	2	3	3	3	4	3	3
S10_Z00	2	2	0	3	3	0	4	4	0	5	5	0	6	6	0	7	7	0
S10_Z01	2	2	1	2	2	1	3	3	2	4	4	2	5	4	3	5	5	3
S10_Z05	1	0	2	1	1	3	1	1	3	2	1	4	2	2	5	3	2	6
S11_Z00	2	2	0	3	3	0	4	4	0	5	5	0	6	6	0	7	7	0
S11_Z01	2	2	1	3	3	2	4	4	3	5	5	3	5	6	4	6	7	5
S11_Z03	1	0	2	1	1	3	2	1	4	2	1	4	3	2	5	3	2	6
S11_Z05	1	0	2	1	1	3	2	1	3	2	1	4	3	2	5	3	2	6
S12_Z00	1	2	0	2	3	0	2	4	0	3	5	1	4	6	1	4	7	1
S12_Z03	0	2	1	0	2	1	1	3	1	1	4	2	1	5	2	1	5	2
S12_Z05	0	1	2	0	1	2	0	2	3	1	2	4	1	2	5	1	3	5
S13_Z00	2	2	0	3	3	0	4	4	0	5	5	0	5	6	0	6	7	0
S13_Z01	2	2	0	3	3	0	4	4	0	5	5	0	5	6	0	6	7	0
S13_Z03	1	1	1	2	2	2	2	3	2	3	3	3	3	4	3	4	4	4
S13_Z07	0	0	2	0	1	3	0	1	4	1	1	5	1	1	6	1	2	6
S13_Z09	0	1	2	0	1	3	0	2	4	0	2	5	0	3	5	0	3	6
S14_Z01	2	2	0	3	3	0	4	4	0	5	4	0	6	5	0	7	6	0
S14_Z03	1	2	0	2	2	1	3	3	1	3	4	1	4	4	1	5	5	2
S14_Z05	0	1	1	1	2	1	1	2	2	1	3	2	2	4	3	2	4	3
S14_Z07	0	0	2	0	1	3	1	1	4	1	1	4	1	2	5	1	2	6
S14_Z09	0	1	2	0	2	3	0	3	4	0	3	4	0	4	5	0	4	6
S15_Z00	2	2	0	3	3	0	3	4	0	4	5	1	5	6	1	6	6	1
S15_Z01	2	2	0	2	3	0	3	4	1	4	5	1	5	6	1	5	6	1
S15_Z03	1	1	1	1	2	1	1	3	2	2	3	2	2	4	3	2	5	3
S15_Z05	0	1	1	1	2	1	1	2	2	1	3	2	1	3	3	2	4	3
