matrix	n_clusters	inertia	silhouette_score	davies_bouldin_score	calinski_harabasz_score
guidi_all	3	11135407737.699444	0.29482194700019565	1.4690430671638885	68.55863568794595
guidi_all	4	9418318139.825293	0.2294654940261473	1.4175312136671312	63.111695129330684
guidi_all	5	8466685949.517819	0.2521988629581018	1.3569473636910685	56.64154798156532
guidi_all	6	7668681052.366142	0.21735066628253502	1.3822131858903595	52.88792855875566
guidi_all	7	6994712678.710054	0.22181080319771052	1.3306878851356494	50.44505991967825
guidi_all	8	6447827676.253319	0.2200338529639297	1.3245846215418347	48.42702087636824
clr_guidi_all	3	3189202.115034407	0.06423183199005403	3.3807148548766714	13.40135416723152
clr_guidi_all	4	3081021.406136083	0.06794873353951379	3.1274027805072175	11.002771120969028
clr_guidi_all	5	2994043.550551382	0.05819800652538601	3.21980232798819	9.555454290656503
clr_guidi_all	6	2934999.1191288186	0.05821501018537343	3.2089576633781003	8.363101704038456
clr_guidi_all	7	2880348.3037168076	0.049997654129915	3.318210203266985	7.535735493907641
clr_guidi_all	8	2830151.598019745	0.04925328085250704	3.2275152370272906	6.913115920866664
M0_all	3	221628609720.87967	0.2730818211584271	1.4865652656990553	69.9070545276809
M0_all	4	192390337910.00726	0.2198984803843147	1.490136155131117	61.195216883863154
M0_all	5	170528186421.56638	0.23660428737470554	1.3165333812825846	56.38218210877014
M0_all	6	154945425992.49887	0.1969394377595658	1.3847307972406055	52.39707249520067
M0_all	7	141771796142.00705	0.21129507862427474	1.3444966802851153	49.763669411472705
M0_all	8	131733428020.85156	0.22152888488669306	1.2111844732514125	47.24672590924414
clr_M0_all	3	117814221.70456061	0.054312124388572185	3.4754719253485695	13.9052033935028
clr_M0_all	4	114299755.58429687	0.05767787942753686	3.2268395531379688	11.082557153402702
clr_M0_all	5	111125187.20267555	0.049959333710840687	3.372066985905859	9.594059942121648
clr_M0_all	6	108106910.79312053	0.049069230012253356	3.136689556216295	8.692637856740062
clr_M0_all	7	106313952.19053897	0.04745632270956191	3.397562405670924	7.745127307175394
clr_M0_all	8	104507073.51813865	0.05549899350845455	3.011112352257922	7.0819895495903875
M1_all	3	125032846819.02704	0.2754795662655461	1.4607998710128882	74.74549876475865
M1_all	4	108300563206.28387	0.22266092108689328	1.449741723124923	65.14269916626547
M1_all	5	96381563469.6252	0.23703172365780717	1.31708499148497	59.30582039955134
M1_all	6	86964479337.6594	0.20229020632021646	1.368097826083428	55.55440017624791
M1_all	7	79953398419.375	0.21485056068043457	1.3371180814751822	52.24730474117928
M1_all	8	74457774376.11624	0.21031955803595506	1.2886124705162891	49.364587612858685
clr_M1_all	3	37338329.06958843	0.07242958919248083	2.7584301878539215	14.503961966266372
clr_M1_all	4	36152183.507281005	0.060267032521213536	3.192665524270804	11.617712063488176
clr_M1_all	5	35127106.94278571	0.05632715963415775	3.275583584721609	10.033203323674266
clr_M1_all	6	34265985.19582253	0.05631515099928309	3.2327982129374995	8.943837596993031
clr_M1_all	7	33604048.03093982	0.051669941737771244	3.2320229975948904	8.049358324042437
clr_M1_all	8	33006397.367936123	0.047959863854645166	3.1915659616649155	7.368762469712664
salazar_all	3	1479441221.3110552	0.30678484128286965	1.2685192887279164	73.84935103048672
salazar_all	4	1211005743.7217493	0.24584456654847725	1.2588669898878666	71.21307598482755
salazar_all	5	1055321475.1020644	0.26755598571786016	1.36089659710254	66.57321148219172
salazar_all	6	957219897.1210439	0.2789911044137051	1.2092590948662498	61.471615141328066
salazar_all	7	875407320.969133	0.2171611763786561	1.2940127157448633	58.01524873176714
salazar_all	8	794494847.9649837	0.22623566248328175	1.1439797245098098	56.628053137597824
clr_salazar_all	3	179447.50661407132	0.13002344508459987	2.478378849955501	24.911759572604357
clr_salazar_all	4	169350.4620575091	0.09562081398398817	2.44819173291044	20.565707037187238
clr_salazar_all	5	159432.60641228565	0.10621727085176069	2.2652503701665507	18.673056818318226
clr_salazar_all	6	152466.3088614021	0.11251994801767143	2.1613359424732246	16.91769542341537
clr_salazar_all	7	147565.3499886534	0.1110336533935577	2.25741073506534	15.312475919361901
clr_salazar_all	8	143292.50211412483	0.10423892554656503	2.356186905757845	14.07067028614986
stress_all	3	3297650563.1369	0.3204110121611523	1.1743072628766598	97.30883543687148
stress_all	4	2819429492.3807034	0.2508032712026203	1.301302179652433	84.15311899251182
stress_all	5	2505735382.4606733	0.25643028163864856	1.1223655424328796	75.37787635165905
stress_all	6	2270482359.7040024	0.2069467773460213	1.2466090878759395	69.28887687896972
stress_all	7	2081780002.260837	0.21041578483066053	1.2447667229883421	64.85935684883904
stress_all	8	1909151146.175572	0.20685455589896282	1.2118777160630234	62.1723264234414
clr_stress_all	3	64187.9885830158	0.15466085937892407	1.9572863619411958	25.70055049865786
clr_stress_all	4	59792.135159838115	0.15697538295784852	2.0591264220526977	22.073923165339263
clr_stress_all	5	56614.943371227266	0.14284789423165611	1.9069079002962641	19.532312665737308
clr_stress_all	6	52788.04272576468	0.16052627499440966	1.9110096914218417	18.86819827361954
clr_stress_all	7	50190.44934361742	0.1592039495751341	1.8228903922055242	17.74029730387839
clr_stress_all	8	48231.7354511539	0.160011115303183	1.793890665350726	16.59541495065726
