Samples	guidi_all_kmeans_3	guidi_all_kmeans_4	guidi_all_kmeans_5	guidi_all_kmeans_6	guidi_all_kmeans_7	guidi_all_kmeans_8	clr_guidi_all_kmeans_3	clr_guidi_all_kmeans_4	clr_guidi_all_kmeans_5	clr_guidi_all_kmeans_6	clr_guidi_all_kmeans_7	clr_guidi_all_kmeans_8	M0_all_kmeans_3	M0_all_kmeans_4	M0_all_kmeans_5	M0_all_kmeans_6	M0_all_kmeans_7	M0_all_kmeans_8	clr_M0_all_kmeans_3	clr_M0_all_kmeans_4	clr_M0_all_kmeans_5	clr_M0_all_kmeans_6	clr_M0_all_kmeans_7	clr_M0_all_kmeans_8	M1_all_kmeans_3	M1_all_kmeans_4	M1_all_kmeans_5	M1_all_kmeans_6	M1_all_kmeans_7	M1_all_kmeans_8	clr_M1_all_kmeans_3	clr_M1_all_kmeans_4	clr_M1_all_kmeans_5	clr_M1_all_kmeans_6	clr_M1_all_kmeans_7	clr_M1_all_kmeans_8	salazar_all_kmeans_3	salazar_all_kmeans_4	salazar_all_kmeans_5	salazar_all_kmeans_6	salazar_all_kmeans_7	salazar_all_kmeans_8	clr_salazar_all_kmeans_3	clr_salazar_all_kmeans_4	clr_salazar_all_kmeans_5	clr_salazar_all_kmeans_6	clr_salazar_all_kmeans_7	clr_salazar_all_kmeans_8	stress_all_kmeans_3	stress_all_kmeans_4	stress_all_kmeans_5	stress_all_kmeans_6	stress_all_kmeans_7	stress_all_kmeans_8	clr_stress_all_kmeans_3	clr_stress_all_kmeans_4	clr_stress_all_kmeans_5	clr_stress_all_kmeans_6	clr_stress_all_kmeans_7	clr_stress_all_kmeans_8
S01_Z00	0	3	0	4	2	0	1	2	4	2	4	0	0	0	4	5	5	4	0	1	4	4	5	6	0	0	4	3	4	4	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	2	2	2	1	6	5	2	0	3	0	6	5
S01_Z01	1	3	0	4	2	0	1	2	4	2	4	0	2	0	4	5	5	4	0	1	4	4	5	6	1	0	4	3	4	4	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	1	2	2	3	1	1	2	0	2	1	4	4
S01_Z05	0	1	2	3	6	2	2	1	0	0	1	6	0	2	0	4	3	0	1	2	1	0	3	2	0	2	0	0	3	0	2	3	0	2	5	5	0	1	3	0	6	2	0	2	1	3	1	1	2	1	0	4	2	2	2	0	2	1	4	4
S02_Z00	1	3	0	4	2	0	1	2	4	2	4	0	2	0	4	5	5	4	0	1	4	4	5	6	1	0	4	3	4	4	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	1	2	2	3	1	1	2	0	2	1	4	4
S02_Z01	0	3	2	4	2	0	1	2	4	2	4	0	0	2	0	4	5	4	0	1	4	4	5	6	0	2	0	0	4	4	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	2	5	6	2	1	0	1	6	5	2	0	2	0	1	1
S02_Z03	0	1	2	3	6	2	1	2	4	2	4	0	0	2	0	4	3	0	0	1	4	4	0	6	0	2	0	0	3	0	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	4	2	2	2	0	2	1	1	1
S02_Z05	0	1	2	1	0	5	2	1	0	0	1	6	0	2	0	1	0	3	1	2	1	0	3	2	0	2	0	2	0	3	2	2	0	2	5	5	0	3	3	0	6	2	0	2	1	3	1	1	2	1	0	1	6	5	1	2	3	0	2	2
S03_Z00	0	1	2	3	6	2	1	2	4	2	4	0	0	2	0	4	3	0	0	1	4	4	5	6	0	2	0	0	3	0	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	4	2	2	2	0	2	0	4	4
S03_Z01	0	1	2	3	6	2	1	2	4	2	4	0	0	2	0	4	3	0	0	1	4	4	5	6	0	2	0	0	3	0	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	4	2	2	2	0	2	1	4	4
S03_Z03	0	1	2	3	6	2	1	2	4	2	4	0	0	2	0	4	3	0	0	1	4	4	0	6	0	2	0	0	3	0	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	1	6	5	1	2	1	2	2	3
S03_Z05	0	1	2	3	6	2	1	2	4	2	5	3	0	2	0	4	3	0	1	2	1	1	0	2	0	2	0	0	3	0	0	2	2	2	1	1	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	4	2	2	2	0	2	1	4	4
S04_Z00	0	1	2	3	6	2	1	2	4	2	4	0	0	2	0	4	3	0	0	1	4	4	5	6	0	2	0	0	3	0	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	0	2	1	0	4	2	2	2	0	2	1	4	4
S04_Z01	1	3	0	4	2	0	1	2	4	2	4	0	2	0	4	5	5	4	0	1	4	4	5	6	1	0	4	3	4	4	0	1	1	4	4	6	0	1	1	3	1	6	1	3	4	0	5	6	1	2	2	3	1	1	2	0	2	0	4	4
S04_Z05	0	1	2	3	6	2	1	2	0	0	5	3	0	2	0	4	3	0	1	2	1	1	0	2	0	2	0	0	3	0	2	2	2	2	1	1	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	4	2	2	2	0	2	0	4	4
S05_Z00	0	1	2	3	6	2	1	2	4	2	4	0	0	2	0	4	3	0	0	1	4	1	0	1	0	2	0	0	3	0	0	1	1	5	2	2	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	4	2	2	2	0	2	0	4	4
S05_Z01	1	2	3	5	1	1	1	2	4	2	4	0	2	1	1	0	1	1	0	1	4	1	0	1	1	1	1	1	1	2	0	1	1	5	2	2	0	1	4	2	2	5	1	3	4	0	5	6	1	0	3	0	5	3	2	0	2	1	4	4
S05_Z05	1	3	0	1	4	4	2	1	0	0	1	6	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	5	5	0	3	3	0	6	2	0	2	1	3	1	1	1	2	2	3	1	1	0	3	3	4	3	7
S05_Z07	0	1	2	1	0	5	2	1	0	0	1	6	0	2	4	1	0	3	1	2	1	0	3	2	0	0	0	2	0	3	2	3	0	2	5	5	0	3	3	0	6	2	0	2	1	3	1	1	2	1	0	1	6	5	2	0	2	0	4	4
S05_Z08	1	3	0	1	4	0	2	1	0	0	1	6	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	0	1	2	3	0	2	5	5	0	3	3	0	6	2	0	2	1	3	1	1	1	2	2	3	1	1	0	1	4	3	0	6
S05_Z09	2	0	4	2	4	4	2	1	0	0	1	6	1	1	1	0	4	2	1	2	1	0	3	2	2	3	1	1	2	2	2	3	0	2	5	5	2	2	0	4	0	1	0	2	1	3	1	1	0	3	1	0	5	3	0	3	4	3	3	0
S05_Z10	0	3	2	1	0	5	2	1	0	0	1	6	0	0	4	1	0	3	1	2	1	0	3	2	0	0	4	2	0	3	2	3	0	2	5	5	0	3	3	0	6	2	0	2	3	3	4	1	2	1	0	1	6	5	0	3	4	3	3	0
S06_Z00	1	0	4	2	4	4	1	2	4	4	3	7	2	1	1	5	4	6	1	3	1	1	1	1	1	1	1	1	1	2	0	1	1	5	1	1	2	3	4	5	5	7	0	2	1	0	5	7	1	0	4	5	0	7	1	2	3	5	6	5
S06_Z05	0	1	2	3	6	2	0	1	3	1	0	6	0	2	0	4	3	0	2	3	1	2	1	0	0	2	0	0	3	0	2	3	0	3	5	4	0	1	3	0	6	2	2	0	3	4	4	1	2	1	0	4	2	2	2	0	3	5	6	5
S07_Z00	1	0	4	2	4	4	1	2	4	4	4	0	2	1	1	0	1	6	0	1	4	1	0	1	1	1	1	1	1	2	0	1	1	5	4	2	2	3	4	5	5	7	1	2	4	0	5	6	1	0	4	5	0	7	2	0	2	1	1	1
S07_Z01	0	1	2	3	6	2	1	2	4	2	5	3	0	2	0	4	3	0	1	1	1	1	0	4	0	2	0	0	3	0	0	2	2	2	1	1	0	1	1	3	1	6	1	3	4	0	5	6	2	1	0	4	2	5	2	0	2	1	1	1
S07_Z03	1	3	0	1	2	0	2	1	0	0	5	6	2	0	4	5	5	4	1	2	1	1	0	2	1	0	4	3	4	1	2	2	2	2	5	1	0	1	3	0	6	2	1	3	4	0	5	6	1	2	2	3	1	1	1	2	3	2	5	3
S07_Z05	0	1	2	3	6	2	2	1	3	1	0	6	0	2	0	4	3	0	2	3	1	2	1	0	0	2	0	0	3	0	2	3	0	3	5	4	0	1	1	3	6	2	0	2	1	3	1	1	2	1	0	4	2	2	1	2	3	0	2	2
S08_Z00	1	3	0	4	2	0	1	2	4	2	4	0	0	0	4	5	5	4	0	1	4	1	0	1	0	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	1	6	1	3	4	0	5	6	1	2	2	3	1	1	2	0	2	0	1	1
S08_Z01	1	3	0	4	2	0	1	2	4	2	4	0	2	0	4	5	5	4	0	1	4	1	0	1	1	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	1	6	1	3	4	0	5	6	1	2	2	3	1	1	2	0	2	1	4	4
S08_Z03	1	2	3	5	1	1	1	2	4	2	5	3	2	1	1	0	1	2	0	1	4	1	0	4	1	1	1	1	2	2	0	1	2	5	2	1	0	1	4	2	2	5	1	3	4	0	5	6	1	0	3	0	5	3	2	0	2	1	4	4
S08_Z05	0	1	2	3	6	2	2	1	0	0	1	6	0	2	0	4	3	0	1	2	1	0	3	2	0	2	0	0	3	0	2	2	0	2	5	5	0	1	1	3	6	2	0	2	1	3	1	1	2	1	0	4	2	2	2	1	3	0	6	5
S09_Z00	1	2	3	5	1	1	1	2	4	2	2	3	2	1	1	0	1	1	0	1	4	1	0	4	1	1	1	1	1	2	0	1	1	5	2	1	0	3	4	2	2	5	1	3	4	0	5	6	1	0	3	0	5	3	2	0	2	1	4	4
S09_Z01	1	2	0	4	2	1	1	2	4	2	2	3	2	0	4	5	5	4	0	1	4	1	0	4	1	0	4	3	4	4	0	1	1	5	2	1	0	1	1	3	6	2	1	3	4	0	5	0	1	2	2	3	1	1	2	0	2	1	1	1
S09_Z03	1	2	3	5	1	1	1	2	4	2	2	3	2	1	1	5	1	4	1	2	4	1	0	4	1	1	1	3	4	2	0	2	2	2	1	1	0	3	3	0	6	2	0	2	1	0	5	0	1	0	3	3	1	3	2	0	3	1	6	5
S09_Z05	1	3	0	4	2	0	1	2	4	2	5	3	2	0	4	5	5	4	1	2	1	1	0	4	1	0	4	3	4	4	2	2	2	2	1	1	0	1	3	0	6	2	0	3	4	0	5	0	1	2	2	3	1	1	2	0	3	1	4	4
S10_Z00	1	2	3	5	1	1	1	2	4	2	2	3	2	1	1	0	1	1	0	1	4	1	0	4	1	1	1	1	1	2	0	1	1	5	2	1	0	3	4	2	2	5	1	1	2	5	3	2	1	0	3	0	5	3	2	0	2	0	4	4
S10_Z01	1	2	3	5	1	1	1	2	4	2	5	3	2	1	1	0	1	1	1	1	4	1	0	4	1	1	1	1	1	2	0	2	2	2	1	1	0	3	4	2	2	5	1	3	4	0	5	0	1	0	3	0	5	3	2	0	2	1	4	4
S10_Z05	0	3	0	1	0	5	2	1	0	0	5	6	0	0	4	1	0	3	1	2	1	0	3	2	0	0	4	2	0	3	2	2	2	2	5	5	2	3	3	0	0	1	0	2	1	3	1	1	2	2	2	1	6	5	1	3	3	4	3	7
S11_Z00	1	3	0	4	4	0	1	2	4	2	5	3	2	0	4	5	4	2	1	2	1	1	0	4	1	0	4	3	2	1	2	2	2	2	1	1	0	1	4	2	2	5	1	3	4	0	5	6	1	2	2	3	1	1	2	0	3	0	4	4
S11_Z01	1	3	0	4	2	0	1	2	4	2	5	3	2	0	4	5	5	4	1	2	1	1	0	4	1	0	4	3	4	4	2	2	2	2	1	1	0	3	3	0	6	2	1	3	1	0	5	6	1	2	2	3	1	1	1	2	3	0	2	2
S11_Z03	0	3	0	1	0	0	2	1	0	0	5	3	0	0	4	1	0	3	1	2	1	0	3	4	0	0	4	2	0	3	2	2	2	2	1	5	0	3	3	0	6	2	0	3	1	0	5	6	2	2	2	1	6	5	1	2	3	2	2	3
S11_Z05	2	0	4	2	4	4	2	1	0	0	1	6	1	1	1	0	4	2	1	2	1	0	3	2	2	3	1	1	2	1	2	2	0	2	5	5	2	2	0	4	0	1	2	0	3	4	4	4	1	0	3	0	5	3	0	1	4	3	0	6
S12_Z00	1	2	3	5	1	7	1	2	4	2	2	2	1	1	1	0	1	1	0	1	4	1	4	1	2	1	1	1	1	7	0	1	1	5	2	2	2	3	4	2	2	5	1	3	4	0	5	6	0	0	3	0	5	6	2	0	2	1	4	4
S12_Z03	2	0	4	2	4	4	2	1	0	0	1	1	2	1	1	0	4	2	1	2	1	0	3	2	2	1	1	1	2	2	2	2	2	2	5	5	2	3	3	0	0	1	0	2	1	3	1	1	1	0	3	0	5	3	1	2	3	2	2	3
S12_Z05	0	1	2	1	0	5	2	1	0	0	1	1	0	2	0	1	0	3	1	3	1	0	3	2	0	2	0	2	0	3	2	3	0	3	0	5	0	3	3	0	6	2	0	2	1	3	1	3	2	1	0	1	6	5	0	3	4	3	3	0
S13_Z00	1	2	3	4	1	1	1	2	4	2	2	2	2	0	1	5	1	4	0	1	4	1	4	1	1	1	1	3	4	2	0	1	1	5	2	2	0	1	4	2	2	5	1	3	4	2	5	0	1	0	3	3	1	3	2	0	3	5	6	5
S13_Z01	1	3	0	4	2	0	1	2	4	2	2	2	2	0	4	5	5	4	0	1	4	1	4	1	1	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	1	6	1	1	2	5	3	2	1	2	2	3	1	1	0	1	4	3	0	6
S13_Z03	0	3	0	1	2	0	2	1	0	0	5	3	0	2	0	1	0	3	1	2	1	1	4	2	0	2	0	2	0	3	0	2	2	2	1	1	0	1	1	3	6	2	1	1	2	5	3	2	2	1	0	1	6	5	2	0	2	1	4	4
S13_Z07	0	1	2	3	6	2	2	1	0	0	1	1	0	2	0	4	3	0	1	3	1	0	3	0	0	2	0	0	3	0	2	3	0	3	0	5	0	1	1	3	6	2	0	2	3	4	4	7	2	1	0	4	2	2	0	1	4	3	0	6
S13_Z09	0	1	2	3	6	2	0	0	3	1	0	1	0	2	0	4	3	0	2	3	3	2	1	0	0	2	0	0	3	0	2	3	0	3	0	4	0	1	3	0	6	2	0	2	1	3	1	7	2	1	0	4	2	2	0	1	4	5	6	5
S14_Z01	1	2	3	5	1	1	1	2	4	2	3	7	2	1	1	0	1	1	0	1	0	3	4	1	1	1	1	1	1	2	0	1	3	0	3	2	0	1	1	3	1	6	1	1	2	5	3	2	1	0	3	3	1	3	1	2	1	2	5	3
S14_Z03	1	3	0	4	2	0	1	2	0	4	5	3	2	0	4	5	5	4	1	2	1	1	0	2	1	0	4	3	4	1	0	2	2	2	1	1	0	1	3	0	6	2	1	3	4	0	5	6	1	2	2	3	1	1	2	0	2	1	4	4
S14_Z05	0	3	0	1	0	0	2	1	0	0	5	1	2	0	4	1	0	3	1	2	1	0	3	2	1	0	4	3	0	1	2	2	2	2	5	5	0	3	3	0	0	2	0	2	3	4	1	7	1	2	2	3	1	1	0	3	0	4	3	7
S14_Z07	0	1	2	1	0	5	2	1	0	0	1	1	0	2	0	1	0	3	1	3	1	0	3	0	0	2	0	2	0	3	2	3	0	3	0	5	0	3	3	0	6	2	0	2	1	3	1	7	2	1	0	1	6	5	1	3	0	4	3	7
S14_Z09	0	1	2	1	0	5	0	0	3	1	0	1	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	0	3	3	0	6	2	0	2	1	3	1	1	2	1	0	1	6	5	2	0	2	1	4	5
S15_Z00	1	2	0	4	2	1	1	2	4	2	2	0	2	0	4	5	5	4	0	1	4	1	0	1	1	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	2	5	1	3	4	0	5	0	1	2	2	3	1	1	2	0	2	1	1	1
S15_Z01	1	2	3	5	1	1	1	2	4	2	2	0	2	1	1	5	1	1	0	1	4	1	0	1	1	1	1	1	1	2	0	1	1	5	2	2	0	1	4	2	2	5	1	3	4	0	5	2	1	0	3	3	1	3	2	0	2	1	1	1
S15_Z03	1	3	0	2	4	4	2	1	0	0	5	3	2	0	4	5	4	2	1	2	1	0	3	2	1	0	1	3	2	1	2	2	2	2	1	1	0	3	3	0	0	1	1	3	4	0	5	6	1	0	3	3	1	3	2	0	2	1	4	4
S15_Z05	1	3	0	2	4	4	2	1	0	0	1	1	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	5	5	2	3	3	0	0	1	0	2	1	3	1	0	1	2	2	3	1	1	2	0	2	1	4	4
S15_Z07	0	1	2	1	0	5	0	0	3	1	0	1	0	0	4	1	0	3	2	3	3	0	1	0	0	0	4	2	0	3	2	3	0	3	0	5	0	3	3	0	0	2	0	2	1	3	1	1	2	2	2	1	6	5	1	3	0	4	3	7
S16_Z00	1	2	3	5	1	1	1	2	4	2	2	2	2	1	1	0	1	1	0	1	4	1	4	1	1	1	1	1	1	2	0	1	1	5	2	2	0	3	4	2	2	5	1	3	4	0	5	6	1	0	3	0	5	3	2	0	2	1	4	4
S16_Z01	1	2	3	5	1	1	1	2	4	2	2	2	2	1	1	0	1	1	0	1	4	1	4	1	1	1	1	1	1	2	0	1	1	5	2	2	0	1	4	2	2	5	1	3	4	0	5	0	1	0	3	0	5	3	2	0	2	1	4	4
S16_Z03	1	3	0	1	4	0	2	1	0	0	5	3	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	4	1	2	2	2	2	1	5	0	3	3	0	0	2	1	3	4	0	5	0	1	2	2	3	1	1	2	0	2	1	4	4
S16_Z05	1	3	0	2	4	4	2	1	0	0	1	1	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	5	5	2	3	3	0	0	1	0	2	1	3	1	0	1	2	2	3	1	1	1	2	1	2	2	3
S16_Z07	0	3	0	1	0	5	2	1	0	5	1	1	2	0	4	1	0	3	1	3	1	0	3	0	1	0	4	2	0	1	2	3	0	3	0	0	2	3	3	0	0	1	2	0	3	4	6	4	1	2	2	3	1	1	0	1	3	3	0	2
S17_Z00	1	3	0	4	2	0	1	2	4	2	2	2	2	0	4	5	5	4	0	1	4	1	4	1	1	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	1	5	1	3	4	2	2	0	1	2	2	3	1	1	2	0	2	1	1	1
S17_Z01	1	3	0	4	2	0	1	2	4	2	2	2	2	0	4	5	5	4	0	1	4	1	4	1	1	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	1	6	1	3	4	2	2	0	1	2	2	3	1	1	2	0	2	1	1	1
S17_Z03	1	0	0	2	4	4	2	1	0	0	1	1	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	0	5	2	3	3	0	0	1	0	2	1	3	1	0	1	2	2	3	1	1	1	2	1	2	5	3
S17_Z05	0	1	2	1	0	5	2	0	3	1	0	1	0	2	0	1	0	3	1	3	3	0	3	0	0	2	0	2	0	3	2	3	0	3	0	5	0	3	3	0	0	2	0	2	1	3	1	7	2	1	0	1	6	5	0	3	3	4	3	7
S17_Z07	0	1	2	3	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	0	3	3	0	0	2	2	0	0	1	0	3	2	1	0	1	6	5	0	3	4	3	3	0
S17_Z09	0	1	2	1	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	2	3	3	0	0	1	0	2	1	3	1	3	2	2	2	1	6	5	2	0	2	1	4	4
S18_Z00	1	3	0	4	2	0	1	2	4	2	2	2	2	0	4	5	5	4	0	1	4	1	5	1	1	0	4	3	4	4	0	1	1	4	4	6	0	1	4	2	2	5	1	3	4	2	2	0	1	2	2	3	1	1	2	0	2	0	1	1
S18_Z01	0	1	2	1	0	5	1	2	4	2	2	2	0	2	0	1	0	3	0	1	4	1	4	1	0	2	0	2	0	3	0	1	1	4	2	6	0	1	4	2	2	5	1	3	4	2	2	0	2	1	0	1	6	5	2	0	2	0	1	1
S18_Z03	2	0	1	0	5	6	0	0	3	5	0	1	1	3	3	3	6	7	1	3	3	0	3	0	2	3	2	5	5	5	2	3	4	3	0	0	2	2	0	4	4	0	2	0	3	4	6	4	0	3	1	2	3	0	0	3	4	3	3	0
S18_Z05	2	0	1	0	5	6	0	0	3	5	0	1	1	3	3	3	6	7	2	3	3	0	3	0	2	3	2	5	5	5	2	3	0	3	0	0	2	2	0	4	4	1	2	0	3	4	6	4	1	2	2	3	1	1	0	3	4	3	3	0
S18_Z07	2	0	1	0	5	6	0	0	2	5	0	1	1	3	3	3	6	7	2	3	3	0	1	0	2	3	2	5	5	5	1	3	4	1	0	0	2	2	0	4	4	0	2	0	3	4	6	4	0	3	1	2	3	0	0	1	4	3	0	6
S18_Z09	0	1	2	1	0	5	0	0	3	5	0	1	0	2	0	1	0	3	2	3	3	0	1	0	0	2	0	2	0	3	2	3	0	3	0	0	2	3	3	0	0	2	2	0	3	4	6	4	2	1	0	1	6	5	0	1	4	3	0	6
S19_Z00	1	3	0	4	2	0	1	2	4	2	2	2	2	0	4	5	5	4	0	1	4	1	4	1	1	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	1	6	1	3	4	2	2	0	2	2	2	1	6	5	2	0	2	1	4	4
S19_Z01	1	3	0	4	2	0	1	2	4	2	2	2	2	0	4	5	5	4	0	1	4	1	4	1	1	0	4	3	4	4	0	1	1	5	2	2	0	1	1	3	1	6	1	3	4	2	2	0	1	2	2	3	1	1	2	0	2	0	1	1
S19_Z03	1	3	0	2	4	4	2	1	0	0	1	1	2	0	4	5	4	2	1	2	1	0	3	2	1	0	4	3	2	1	2	2	2	2	0	5	2	3	3	0	0	1	0	2	1	3	1	7	1	2	2	3	1	1	0	3	0	4	3	7
S19_Z05	1	3	0	1	4	4	2	0	3	1	0	1	2	0	4	5	4	2	1	3	3	0	3	0	1	0	4	3	2	1	2	3	0	3	0	5	2	3	3	0	0	1	0	2	3	3	1	7	1	2	2	3	1	1	0	3	4	4	3	7
S19_Z07	0	1	2	3	0	5	0	0	3	1	0	4	0	2	0	1	0	3	2	3	3	2	1	0	0	2	0	2	0	3	2	3	0	3	0	4	2	3	3	0	0	1	0	2	1	3	1	7	2	1	0	1	6	5	0	1	4	5	0	2
