Samples	guidi_mes_kmeans_3	guidi_mes_kmeans_4	guidi_mes_kmeans_5	guidi_mes_kmeans_6	guidi_mes_kmeans_7	guidi_mes_kmeans_8	clr_guidi_mes_kmeans_3	clr_guidi_mes_kmeans_4	clr_guidi_mes_kmeans_5	clr_guidi_mes_kmeans_6	clr_guidi_mes_kmeans_7	clr_guidi_mes_kmeans_8	M0_mes_kmeans_3	M0_mes_kmeans_4	M0_mes_kmeans_5	M0_mes_kmeans_6	M0_mes_kmeans_7	M0_mes_kmeans_8	clr_M0_mes_kmeans_3	clr_M0_mes_kmeans_4	clr_M0_mes_kmeans_5	clr_M0_mes_kmeans_6	clr_M0_mes_kmeans_7	clr_M0_mes_kmeans_8	M1_mes_kmeans_3	M1_mes_kmeans_4	M1_mes_kmeans_5	M1_mes_kmeans_6	M1_mes_kmeans_7	M1_mes_kmeans_8	clr_M1_mes_kmeans_3	clr_M1_mes_kmeans_4	clr_M1_mes_kmeans_5	clr_M1_mes_kmeans_6	clr_M1_mes_kmeans_7	clr_M1_mes_kmeans_8	salazar_mes_kmeans_3	salazar_mes_kmeans_4	salazar_mes_kmeans_5	salazar_mes_kmeans_6	salazar_mes_kmeans_7	salazar_mes_kmeans_8	clr_salazar_mes_kmeans_3	clr_salazar_mes_kmeans_4	clr_salazar_mes_kmeans_5	clr_salazar_mes_kmeans_6	clr_salazar_mes_kmeans_7	clr_salazar_mes_kmeans_8	stress_mes_kmeans_3	stress_mes_kmeans_4	stress_mes_kmeans_5	stress_mes_kmeans_6	stress_mes_kmeans_7	stress_mes_kmeans_8	clr_stress_mes_kmeans_3	clr_stress_mes_kmeans_4	clr_stress_mes_kmeans_5	clr_stress_mes_kmeans_6	clr_stress_mes_kmeans_7	clr_stress_mes_kmeans_8
S05_Z08	2	2	1	2	0	7	0	1	3	5	4	4	0	0	2	2	0	5	1	3	2	4	6	5	0	2	3	5	1	6	0	2	0	4	5	5	0	3	0	0	0	1	2	1	3	1	6	6	0	2	0	0	1	7	2	1	1	4	4	0
S05_Z09	1	3	0	4	5	5	0	1	3	5	4	4	1	1	1	5	6	4	1	3	2	4	6	5	1	0	1	1	6	3	0	2	0	4	5	5	2	0	2	5	4	7	2	1	3	1	6	6	1	1	1	3	2	6	2	2	1	4	4	0
S05_Z10	2	2	1	2	0	7	0	1	3	5	4	4	0	0	2	2	0	5	1	3	2	4	6	5	0	2	3	5	1	6	0	2	0	4	5	5	0	3	0	0	0	1	2	1	3	1	2	6	0	2	0	0	6	3	2	2	1	4	4	0
S13_Z07	2	1	3	0	3	6	0	1	3	5	6	2	0	3	0	0	3	6	1	3	2	5	5	7	0	1	0	0	3	5	0	3	0	5	0	6	0	3	0	0	0	1	2	2	3	1	2	1	0	0	2	4	3	0	2	1	1	4	6	5
S13_Z09	2	1	3	0	3	6	2	1	1	1	1	0	0	3	0	0	3	6	1	2	2	1	0	7	0	1	0	0	3	5	1	0	3	0	0	1	0	3	0	0	0	1	2	1	3	0	4	7	0	0	2	4	3	0	1	3	4	1	5	3
S14_Z07	2	2	1	2	0	0	0	1	1	4	6	2	0	0	2	2	0	0	1	2	2	5	5	0	0	2	3	5	1	0	0	2	0	5	0	2	0	3	0	0	0	1	2	1	3	1	6	6	0	0	2	4	6	3	0	2	3	3	0	2
S14_Z09	2	2	1	2	0	7	2	1	0	1	3	3	0	0	2	2	0	0	2	2	4	1	0	1	0	2	3	5	1	0	1	0	3	0	0	1	0	3	0	0	0	1	2	1	3	1	6	6	0	2	2	4	6	3	1	3	2	1	5	3
S15_Z07	2	2	1	2	0	7	0	2	1	1	1	0	0	0	2	2	0	5	1	2	2	5	0	1	0	2	3	5	1	6	0	2	0	3	0	2	0	0	2	2	6	3	2	1	3	5	6	2	0	2	0	0	6	3	0	2	3	3	0	2
S16_Z07	2	2	1	2	0	7	0	1	4	3	6	2	0	0	2	2	0	5	1	1	2	5	5	0	0	2	3	5	1	6	0	3	0	5	1	2	0	0	2	2	6	3	0	3	4	3	3	5	0	2	0	0	1	7	2	1	4	0	3	6
S17_Z07	2	1	3	0	3	0	2	2	1	1	1	0	0	3	0	0	3	0	1	2	1	0	1	3	0	1	0	0	3	0	0	2	1	3	4	4	0	0	2	2	6	3	1	0	0	2	1	4	0	0	2	4	6	3	2	2	1	4	6	5
