Samples	Temperature_3_MES	Oxygen_3_MES	nitrates_3_MES	Temperature_4_MES	Oxygen_4_MES	nitrates_4_MES	Temperature_5_MES	Oxygen_5_MES	nitrates_5_MES	Temperature_6_MES	Oxygen_6_MES	nitrates_6_MES	Temperature_7_MES	Oxygen_7_MES	nitrates_7_MES	Temperature_8_MES	Oxygen_8_MES	nitrates_8_MES
S05_Z08	0.0	2.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	7.0	0.0
S05_Z09	0.0	2.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	7.0	0.0
S05_Z10	0.0	2.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	6.0	1.0	0.0	7.0	1.0
S13_Z07	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	4.0	3.0
S13_Z09	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	1.0	5.0	2.0	1.0	6.0	2.0	1.0	7.0	3.0
S14_Z07	1.0	2.0	0.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	4.0	1.0	3.0	5.0	2.0	4.0	5.0	2.0
S14_Z09	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	5.0	2.0	0.0	6.0	2.0	0.0	7.0	2.0
S15_Z07	1.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	4.0	3.0	5.0	5.0
S16_Z07	1.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	4.0	2.0	3.0	4.0	2.0	4.0
S17_Z07	2.0	0.0	0.0	2.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	5.0	1.0	2.0	5.0	2.0	2.0
S17_Z09	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	3.0	1.0	4.0	3.0	1.0	5.0	4.0	1.0	6.0	5.0
S18_Z07	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	1.0	5.0	0.0	1.0	6.0	0.0	1.0
S18_Z09	0.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	4.0	1.0	4.0	5.0	2.0	4.0	6.0	2.0	5.0	6.0
S19_Z07	1.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	3.0	2.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0
S19_Z09	0.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	5.0	5.0	2.0	5.0	6.0
S20_Z07	2.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0	6.0	0.0	2.0
S20_Z09	1.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	4.0	2.0	3.0	5.0	2.0	3.0	6.0	2.0	4.0	7.0
S21_Z07	2.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	1.0	5.0	0.0	1.0	5.0	1.0	1.0	6.0	1.0	1.0
S21_Z09	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0	4.0	2.0	4.0	4.0
S24_Z07	2.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	4.0	2.0	2.0	4.0	2.0	3.0	5.0	2.0	3.0
S24_Z09	0.0	2.0	2.0	0.0	3.0	2.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	5.0	5.0	1.0	6.0	5.0
S25_Z07	1.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	4.0	3.0	3.0	5.0	3.0	4.0
S25_Z09	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	3.0	0.0	5.0	4.0	0.0	6.0	4.0
S26_Z07	2.0	1.0	1.0	3.0	1.0	1.0	4.0	2.0	1.0	4.0	2.0	2.0	5.0	2.0	2.0	6.0	3.0	2.0
S26_Z09	0.0	2.0	2.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	4.0	0.0	6.0	5.0
S27_Z07	2.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	1.0	1.0	6.0	1.0	1.0	7.0	1.0	1.0
S27_Z09	1.0	0.0	2.0	1.0	1.0	3.0	2.0	1.0	4.0	2.0	1.0	4.0	3.0	2.0	5.0	3.0	2.0	6.0
S28_Z07	2.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	4.0	2.0	2.0	4.0	3.0	2.0	5.0	3.0	3.0
S28_Z09	0.0	2.0	2.0	0.0	2.0	3.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	4.0	5.0	1.0	5.0	6.0
S29_Z07	2.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	4.0	3.0	2.0	5.0	3.0	3.0	5.0	4.0	3.0
