Samples	Temperature_3_SRF	Oxygen_3_SRF	nitrates_3_SRF	Temperature_4_SRF	Oxygen_4_SRF	nitrates_4_SRF	Temperature_5_SRF	Oxygen_5_SRF	nitrates_5_SRF	Temperature_6_SRF	Oxygen_6_SRF	nitrates_6_SRF	Temperature_7_SRF	Oxygen_7_SRF	nitrates_7_SRF	Temperature_8_SRF	Oxygen_8_SRF	nitrates_8_SRF
S01_Z00	0.0	2.0	2.0	0.0	3.0	3.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	6.0
S02_Z00	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	5.0	3.0	0.0	6.0	3.0	0.0	6.0	4.0
S03_Z00	0.0	1.0	1.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0	3.0	2.0	0.0	3.0	3.0	0.0	4.0	3.0
S04_Z00	0.0	2.0	1.0	0.0	3.0	1.0	0.0	3.0	2.0	1.0	4.0	2.0	1.0	5.0	3.0	1.0	6.0	3.0
S05_Z00	0.0	2.0	0.0	0.0	3.0	0.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	5.0	1.0	1.0	6.0	1.0
S06_Z00	0.0	2.0	2.0	0.0	3.0	3.0	0.0	4.0	4.0	0.0	5.0	5.0	0.0	6.0	6.0	0.0	7.0	6.0
S07_Z00	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	3.0	1.0	0.0
S08_Z00	1.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	5.0	4.0	5.0	6.0	4.0	6.0	7.0
S09_Z00	1.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	1.0	4.0	2.0	1.0	5.0	2.0	1.0	6.0
S10_Z00	1.0	2.0	0.0	2.0	3.0	0.0	3.0	4.0	0.0	3.0	5.0	1.0	4.0	6.0	1.0	5.0	7.0	1.0
S11_Z00	2.0	2.0	0.0	3.0	3.0	0.0	4.0	4.0	0.0	5.0	5.0	0.0	6.0	6.0	0.0	6.0	7.0	1.0
S12_Z00	0.0	2.0	1.0	0.0	2.0	2.0	1.0	3.0	3.0	1.0	4.0	3.0	1.0	5.0	4.0	1.0	5.0	4.0
S13_Z00	1.0	1.0	0.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	4.0	5.0	2.0
S15_Z00	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0
S16_Z00	0.0	2.0	2.0	0.0	2.0	3.0	0.0	3.0	3.0	0.0	4.0	4.0	0.0	4.0	5.0	1.0	5.0	6.0
S17_Z00	0.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	5.0	1.0	0.0	6.0	2.0	0.0	7.0
S18_Z00	0.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	5.0	2.0	0.0	6.0	2.0	0.0	7.0
S19_Z00	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0	3.0	3.0	5.0	4.0	3.0	5.0
S20_Z00	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0
S24_Z00	1.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	0.0	5.0	2.0	0.0	6.0	3.0	0.0	7.0
S25_Z00	2.0	0.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	2.0	4.0	2.0	2.0	5.0	2.0	2.0
S26_Z00	2.0	1.0	0.0	3.0	1.0	1.0	3.0	2.0	1.0	4.0	2.0	1.0	5.0	3.0	2.0	6.0	3.0	2.0
S27_Z00	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	5.0
S28_Z00	2.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	4.0	2.0	2.0	5.0	2.0	2.0	5.0	3.0	3.0
S29_Z00	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	1.0	4.0	2.0	1.0	5.0	2.0	1.0	6.0	2.0	1.0
S30_Z00	2.0	0.0	1.0	3.0	1.0	1.0	3.0	1.0	2.0	4.0	1.0	2.0	5.0	1.0	2.0	6.0	2.0	3.0
S31_Z00	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	5.0	2.0	0.0	6.0	2.0	0.0	7.0	3.0	0.0
S32_Z00	2.0	0.0	0.0	3.0	0.0	0.0	4.0	1.0	0.0	5.0	1.0	0.0	6.0	1.0	0.0	7.0	1.0	0.0
S33_Z00	2.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	7.0	1.0	0.0
S34_Z00	2.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	2.0	5.0	0.0	3.0	6.0	0.0	4.0	7.0	0.0	4.0
