Sample	Cluster
TSC001	3
TSC003	3
TSC005	1
TSC008	1
TSC013	3
TSC016	1
TSC020	1
TSC021	1
TSC025	3
TSC027	3
TSC031	3
TSC036	3
TSC045	3
TSC056	3
TSC060	3
TSC062	1
TSC065	3
TSC068	1
TSC070	3
TSC071	3
TSC073	3
TSC078	0
TSC085	3
TSC089	3
TSC092	3
TSC102	3
TSC110	3
TSC117	3
TSC126	3
TSC135	3
TSC140	3
TSC141	0
TSC145	0
TSC147	3
TSC148	1
TSC149	1
TSC152	3
TSC153	3
TSC156	1
TSC159	3
TSC163	3
TSC167	3
TSC170	1
TSC173	3
TSC184	3
TSC191	3
TSC199	1
TSC207	1
TSC210	1
TSC213	3
TSC216	1
TSC219	1
TSC222	3
TSC223	3
TSC224	3
TSC227	3
TSC229	3
TSC231	0
TSC233	3
TSC235	3
TSC237	3
TSC239	3
TSC242	3
TSC245	0
TSC248	1
TSC251	0
TSC254	0
TSC257	0
TSC259	0
TSC261	0
TSC264	3
TSC265	0
TSC267	0
TSC268	3
TSC270	1
TSC272	0
TSC273	0
TSC274	0
TSC276	0
TSC280	0
TSC281	0
TSC282	0
TSC285	2
