Sample	Cluster
TSC001	2
TSC003	3
TSC005	5
TSC008	5
TSC013	3
TSC016	5
TSC020	5
TSC021	1
TSC025	1
TSC027	3
TSC031	3
TSC036	3
TSC045	3
TSC056	2
TSC060	2
TSC062	1
TSC065	1
TSC068	1
TSC070	3
TSC071	3
TSC073	3
TSC078	5
TSC085	3
TSC089	2
TSC092	3
TSC102	3
TSC110	3
TSC117	3
TSC126	3
TSC135	2
TSC140	0
TSC141	0
TSC145	4
TSC147	2
TSC148	5
TSC149	2
TSC152	3
TSC153	2
TSC156	5
TSC159	2
TSC163	2
TSC167	2
TSC170	2
TSC173	2
TSC184	3
TSC191	3
TSC199	5
TSC207	2
TSC210	3
TSC213	2
TSC216	5
TSC219	2
TSC222	2
TSC223	3
TSC224	2
TSC227	2
TSC229	2
TSC231	2
TSC233	2
TSC235	3
TSC237	2
TSC239	2
TSC242	2
TSC245	0
TSC248	0
TSC251	4
TSC254	4
TSC257	0
TSC259	4
TSC261	0
TSC264	3
TSC265	0
TSC267	0
TSC268	0
TSC270	0
TSC272	0
TSC273	0
TSC274	4
TSC276	4
TSC280	4
TSC281	0
TSC282	4
TSC285	0
