Sample	Cluster
TSC001	1
TSC003	0
TSC005	1
TSC008	1
TSC013	6
TSC016	1
TSC020	1
TSC021	2
TSC025	2
TSC027	6
TSC031	6
TSC036	6
TSC045	6
TSC056	0
TSC060	0
TSC062	2
TSC065	2
TSC068	2
TSC070	6
TSC071	6
TSC073	6
TSC078	2
TSC085	6
TSC089	0
TSC092	6
TSC102	6
TSC110	6
TSC117	6
TSC126	6
TSC135	0
TSC140	5
TSC141	3
TSC145	3
TSC147	0
TSC148	1
TSC149	0
TSC152	0
TSC153	2
TSC156	1
TSC159	0
TSC163	0
TSC167	0
TSC170	0
TSC173	0
TSC184	0
TSC191	6
TSC199	1
TSC207	0
TSC210	6
TSC213	0
TSC216	1
TSC219	0
TSC222	0
TSC223	0
TSC224	0
TSC227	0
TSC229	0
TSC231	0
TSC233	0
TSC235	0
TSC237	0
TSC239	0
TSC242	0
TSC245	3
TSC248	3
TSC251	4
TSC254	4
TSC257	5
TSC259	4
TSC261	5
TSC264	5
TSC265	3
TSC267	0
TSC268	5
TSC270	3
TSC272	5
TSC273	5
TSC274	4
TSC276	4
TSC280	3
TSC281	5
TSC282	3
TSC285	5
