Sample	Cluster
TSC001	0
TSC003	0
TSC005	0
TSC008	0
TSC013	1
TSC016	5
TSC020	5
TSC021	3
TSC025	3
TSC027	6
TSC031	1
TSC036	1
TSC045	1
TSC056	6
TSC060	0
TSC062	3
TSC065	3
TSC068	3
TSC070	1
TSC071	1
TSC073	1
TSC078	2
TSC085	1
TSC089	1
TSC092	1
TSC102	1
TSC110	1
TSC117	1
TSC126	1
TSC135	0
TSC140	1
TSC141	4
TSC145	4
TSC147	6
TSC148	5
TSC149	6
TSC152	1
TSC153	6
TSC156	6
TSC159	6
TSC163	6
TSC167	6
TSC170	6
TSC173	6
TSC184	1
TSC191	1
TSC199	5
TSC207	6
TSC210	1
TSC213	3
TSC216	5
TSC219	6
TSC222	6
TSC223	6
TSC224	0
TSC227	0
TSC229	6
TSC231	0
TSC233	0
TSC235	0
TSC237	0
TSC239	0
TSC242	0
TSC245	4
TSC248	4
TSC251	4
TSC254	4
TSC257	4
TSC259	4
TSC261	4
TSC264	1
TSC265	4
TSC267	4
TSC268	1
TSC270	4
TSC272	4
TSC273	1
TSC274	4
TSC276	4
TSC280	4
TSC281	1
TSC282	4
TSC285	4
