Samples	M0_srf_kmeans_3	M0_srf_kmeans_4	M0_srf_kmeans_5	M0_srf_kmeans_6	M0_srf_kmeans_7	M0_srf_kmeans_8	M1_srf_kmeans_3	M1_srf_kmeans_4	M1_srf_kmeans_5	M1_srf_kmeans_6	M1_srf_kmeans_7	M1_srf_kmeans_8	M4_srf_kmeans_3	M4_srf_kmeans_4	M4_srf_kmeans_5	M4_srf_kmeans_6	M4_srf_kmeans_7	M4_srf_kmeans_8	guidi_srf_kmeans_3	guidi_srf_kmeans_4	guidi_srf_kmeans_5	guidi_srf_kmeans_6	guidi_srf_kmeans_7	guidi_srf_kmeans_8	salazar_srf_kmeans_3	salazar_srf_kmeans_4	salazar_srf_kmeans_5	salazar_srf_kmeans_6	salazar_srf_kmeans_7	salazar_srf_kmeans_8	stress_srf_kmeans_3	stress_srf_kmeans_4	stress_srf_kmeans_5	stress_srf_kmeans_6	stress_srf_kmeans_7	stress_srf_kmeans_8
TSC001	2	1	3	5	3	3	2	3	3	2	1	5	1	1	1	2	1	0	2	1	3	0	1	0	0	3	0	0	0	5	2	2	2	2	0	2
TSC003	1	2	1	0	0	6	1	1	1	3	4	3	2	3	2	0	3	1	1	0	1	4	0	7	0	3	0	0	0	3	1	2	2	2	0	1
TSC005	2	0	3	1	1	0	2	3	3	5	1	2	1	1	1	2	1	0	2	1	3	0	1	6	1	1	1	1	6	0	0	2	1	2	0	2
TSC008	2	0	3	1	3	3	2	3	3	5	1	5	1	1	4	1	2	0	2	1	3	0	1	6	1	1	1	1	1	1	2	2	1	2	0	2
TSC013	1	2	4	3	4	6	1	1	4	3	4	3	2	3	0	3	3	2	1	0	1	2	6	1	0	3	0	0	0	3	1	0	0	0	1	7
TSC016	2	0	3	1	1	0	2	3	3	5	1	2	1	1	4	1	2	6	2	1	3	0	1	6	1	1	1	1	6	0	0	1	1	5	5	2
TSC020	2	0	3	1	1	0	2	3	3	5	1	2	1	1	4	1	2	6	2	1	3	0	1	6	1	1	1	1	6	0	0	1	1	5	5	2
TSC021	1	1	0	4	6	4	1	0	0	1	6	6	0	0	3	4	5	5	2	2	2	5	2	0	1	1	1	1	1	1	2	3	3	4	3	0
TSC025	1	1	0	4	6	4	1	0	0	1	6	6	0	0	3	4	5	5	2	2	2	5	2	0	0	3	0	0	1	1	2	3	3	4	3	0
TSC027	1	2	4	0	4	6	1	1	4	3	4	3	2	3	0	3	3	1	1	0	1	2	6	1	0	3	0	0	0	3	1	0	0	0	6	1
TSC031	1	2	4	3	4	6	1	1	4	3	4	3	2	3	0	3	3	1	1	0	1	2	6	1	0	3	0	0	0	3	1	0	0	0	1	7
TSC036	1	2	4	3	4	6	1	1	4	3	4	3	2	3	0	3	3	1	1	0	1	2	6	1	0	3	0	0	0	3	1	0	0	0	1	7
